Variant,Cases,Events,Median duration,Median duration (milliseconds),Mean duration,Mean duration (milliseconds),Step 1,Step 2,Step 3,Step 4,Step 5,Step 6,Step 7,Step 8,Step 9,Step 10,Step 11,Step 12,Step 13,Step 14,Step 15,Step 16,Step 17,Step 18,Step 19,Step 20,Step 21,Step 22,Step 23,Step 24,Step 25,Step 26,Step 27,Step 28,Step 29,Step 30,Step 31,Step 32,Step 33,Step 34,Step 35,Step 36,Step 37,Step 38,Step 39,Step 40,Step 41,Step 42,Step 43,Step 44,Step 45,Step 46,Step 47,Step 48,Step 49,Step 50,Step 51,Step 52,Step 53,Step 54,Step 55,Step 56,Step 57,Step 58,Step 59,Step 60,Step 61,Step 62,Step 63,Step 64,Step 65,Step 66,Step 67,Step 68,Step 69,Step 70,Step 71,Step 72,Step 73,Step 74,Step 75,Step 76,Step 77,Step 78,Step 79,Step 80,Step 81,Step 82,Step 83,Step 84,Step 85,Step 86,Step 87,Step 88,Step 89,Step 90,Step 91,Step 92,Step 93,Step 94,Step 95,Step 96,Step 97,Step 98,Step 99,Step 100,Step 101,Step 102,Step 103,Step 104,Step 105,Step 106,Step 107,Step 108,Step 109,Step 110,Step 111,Step 112,Step 113,Step 114,Step 115,Step 116,Step 117,Step 118,Step 119,Step 120,Step 121,Step 122,Step 123
Variant 1970,1,18,"8 days, 15 hours",746215000,"8 days, 15 hours",746215000,Accepted + In Progress,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Accepted + Assigned,Accepted + In Progress,Accepted + Wait - User,Accepted + In Progress,Accepted + Wait - User,Accepted + In Progress,Accepted + Wait - User,Accepted + In Progress,Accepted + Wait - User,Accepted + In Progress,Accepted + Wait - User,Accepted + In Progress,Completed + Resolved,Completed + Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 1971,1,26,"5 days, 15 hours",487785000,"5 days, 15 hours",487785000,Accepted + In Progress,Accepted + In Progress,Accepted + Wait,Accepted + Wait,Accepted + In Progress,Queued + Awaiting Assignment,Queued + Awaiting Assignment,Accepted + In Progress,Accepted + Wait,Accepted + Wait - User,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Accepted + Wait,Queued + Awaiting Assignment,Accepted + In Progress,Accepted + Assigned,Accepted + In Progress,Accepted + Wait - User,Accepted + In Progress,Completed + Resolved,Completed + Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 1972,1,15,"11 days, 4 hours",967016000,"11 days, 4 hours",967016000,Accepted + In Progress,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Accepted + Wait,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Accepted + Wait - User,Accepted + Wait - User,Accepted + In Progress,Accepted + Wait - User,Accepted + In Progress,Completed + Resolved,Completed + Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 1973,1,12,"12 days, 15 hours",1093448000,"12 days, 15 hours",1093448000,Queued + Awaiting Assignment,Accepted + In Progress,Accepted + Assigned,Accepted + In Progress,Accepted + Wait - User,Accepted + In Progress,Accepted + Assigned,Accepted + Assigned,Accepted + In Progress,Accepted + In Progress,Completed + Resolved,Completed + Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 1974,1,12,"11 days, 14 hours",1002624000,"11 days, 14 hours",1002624000,Queued + Awaiting Assignment,Accepted + In Progress,Accepted + Assigned,Accepted + In Progress,Completed + Resolved,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Completed + Resolved,Completed + Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 1975,1,15,"8 days, 11 hours",730829000,"8 days, 11 hours",730829000,Queued + Awaiting Assignment,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Accepted + Assigned,Accepted + In Progress,Accepted + Wait - User,Completed + Resolved,Completed + Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 1976,1,16,"12 days, 9 hours",1071202000,"12 days, 9 hours",1071202000,Queued + Awaiting Assignment,Accepted + In Progress,Accepted + Assigned,Accepted + In Progress,Accepted + Wait - User,Accepted + In Progress,Accepted + Wait - User,Accepted + Assigned,Accepted + In Progress,Accepted + Wait - User,Accepted + Assigned,Accepted + In Progress,Accepted + Wait - User,Accepted + In Progress,Completed + Resolved,Completed + Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 1977,1,9,"8 days, 8 hours",722247000,"8 days, 8 hours",722247000,Queued + Awaiting Assignment,Accepted + In Progress,Accepted + Assigned,Accepted + In Progress,Accepted + In Progress,Completed + Resolved,Accepted + In Progress,Completed + Resolved,Completed + Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 1978,1,13,"11 days, 14 hours",1002900000,"11 days, 14 hours",1002900000,Accepted + In Progress,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Accepted + Wait,Accepted + Wait - User,Accepted + In Progress,Accepted + Wait,Accepted + In Progress,Accepted + Wait - User,Accepted + In Progress,Completed + Resolved,Completed + Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 1979,1,17,"6 days, 15 hours",573659000,"6 days, 15 hours",573659000,Accepted + In Progress,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Accepted + Assigned,Accepted + In Progress,Accepted + Wait - User,Accepted + In Progress,Accepted + Assigned,Accepted + In Progress,Accepted + Wait - User,Accepted + In Progress,Accepted + Wait,Accepted + Wait - User,Accepted + In Progress,Completed + Resolved,Completed + Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 1980,1,3,"12 days, 2 hours",1045198000,"12 days, 2 hours",1045198000,Accepted + Wait - Vendor,Accepted + Wait - Vendor,Completed + Resolved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 1981,1,14,"4 days, 14 hours",397301000,"4 days, 14 hours",397301000,Accepted + In Progress,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Accepted + Assigned,Accepted + In Progress,Accepted + Wait,Accepted + Assigned,Accepted + In Progress,Accepted + Wait - User,Accepted + Wait,Accepted + Wait - User,Completed + Resolved,Completed + Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 1982,1,13,"4 hours, 47 mins",17252000,"4 hours, 47 mins",17252000,Accepted + In Progress,Accepted + In Progress,Accepted + Wait - Implementation,Accepted + In Progress,Accepted + Wait - User,Accepted + In Progress,Queued + Awaiting Assignment,Queued + Awaiting Assignment,Accepted + In Progress,Accepted + Assigned,Accepted + In Progress,Completed + Resolved,Completed + Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 1983,1,12,"14 hours, 50 mins",53401000,"14 hours, 50 mins",53401000,Accepted + In Progress,Accepted + In Progress,Queued + Awaiting Assignment,Queued + Awaiting Assignment,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Accepted + Assigned,Accepted + In Progress,Accepted + In Progress,Completed + Resolved,Completed + Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 1984,1,25,"1 day, 12 hours",132861000,"1 day, 12 hours",132861000,Accepted + In Progress,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Accepted + Assigned,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Accepted + Wait - User,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Accepted + Assigned,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Queued + Awaiting Assignment,Queued + Awaiting Assignment,Accepted + In Progress,Completed + Resolved,Completed + Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 1985,1,25,"7 days, 11 hours",646428000,"7 days, 11 hours",646428000,Accepted + In Progress,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Accepted + Assigned,Accepted + In Progress,Accepted + Wait - User,Accepted + Wait - User,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Accepted + Assigned,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Accepted + Assigned,Accepted + In Progress,Completed + Resolved,Completed + Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 1986,1,28,"8 days, 15 hours",745297000,"8 days, 15 hours",745297000,Accepted + In Progress,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Accepted + Assigned,Accepted + In Progress,Accepted + Assigned,Accepted + In Progress,Accepted + Wait,Queued + Awaiting Assignment,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Accepted + Assigned,Accepted + In Progress,Accepted + Wait,Accepted + Wait - User,Queued + Awaiting Assignment,Accepted + In Progress,Accepted + Wait - User,Queued + Awaiting Assignment,Accepted + In Progress,Completed + Resolved,Completed + Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 1987,1,12,"18 days, 15 hours",1611098000,"18 days, 15 hours",1611098000,Accepted + Wait - User,Accepted + Wait - User,Queued + Awaiting Assignment,Accepted + In Progress,Accepted + Wait - User,Accepted + In Progress,Accepted + Wait - User,Queued + Awaiting Assignment,Accepted + In Progress,Accepted + Wait - User,Completed + Resolved,Completed + Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 1988,1,12,"1 day, 1 hour",91764000,"1 day, 1 hour",91764000,Accepted + In Progress,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Accepted + Wait - User,Queued + Awaiting Assignment,Accepted + In Progress,Completed + Resolved,Completed + Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 1989,1,11,"7 days, 14 hours",658357000,"7 days, 14 hours",658357000,Accepted + In Progress,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Accepted + Assigned,Accepted + In Progress,Accepted + Wait - Vendor,Accepted + Assigned,Accepted + In Progress,Completed + Resolved,Completed + Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 1990,1,20,"6 days, 14 hours",572020000,"6 days, 14 hours",572020000,Accepted + In Progress,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Accepted + Assigned,Accepted + In Progress,Accepted + Wait - User,Accepted + In Progress,Accepted + Wait - User,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Accepted + Assigned,Accepted + In Progress,Accepted + Wait - User,Accepted + In Progress,Completed + Resolved,Completed + Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 1991,1,18,"11 days, 15 hours",1005301000,"11 days, 15 hours",1005301000,Accepted + In Progress,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Accepted + Assigned,Accepted + In Progress,Accepted + Assigned,Accepted + In Progress,Accepted + Wait - User,Accepted + Assigned,Accepted + In Progress,Accepted + Wait - User,Accepted + Assigned,Accepted + In Progress,Accepted + Wait - Vendor,Accepted + Wait - User,Completed + Resolved,Completed + Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 1992,1,13,"7 days, 14 hours",656759000,"7 days, 14 hours",656759000,Accepted + In Progress,Accepted + In Progress,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Accepted + Assigned,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Accepted + Assigned,Accepted + In Progress,Completed + Resolved,Completed + Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 1993,1,9,"7 days, 14 hours",655870000,"7 days, 14 hours",655870000,Accepted + In Progress,Accepted + In Progress,Accepted + Wait - Implementation,Queued + Awaiting Assignment,Accepted + In Progress,Accepted + Wait - User,Accepted + In Progress,Completed + Resolved,Completed + Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 1994,1,20,"8 days, 14 hours",743781000,"8 days, 14 hours",743781000,Accepted + In Progress,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Accepted + Assigned,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Accepted + Wait - User,Completed + Resolved,Completed + Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 1995,1,15,"4 days, 14 hours",397602000,"4 days, 14 hours",397602000,Accepted + In Progress,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Accepted + Assigned,Accepted + In Progress,Queued + Awaiting Assignment,Queued + Awaiting Assignment,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Completed + Resolved,Completed + Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 1996,1,6,"5 days, 6 hours",455285000,"5 days, 6 hours",455285000,Accepted + In Progress,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Accepted + Wait - User,Completed + Resolved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 1997,1,15,"8 days, 14 hours",744127000,"8 days, 14 hours",744127000,Accepted + In Progress,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Accepted + Assigned,Accepted + In Progress,Accepted + Assigned,Accepted + In Progress,Accepted + Assigned,Accepted + In Progress,Accepted + Assigned,Accepted + Assigned,Accepted + In Progress,Completed + Resolved,Completed + Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 1998,1,15,"8 days, 12 hours",736255000,"8 days, 12 hours",736255000,Accepted + In Progress,Accepted + In Progress,Accepted + Wait - User,Queued + Awaiting Assignment,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Accepted + Wait - User,Accepted + Wait - User,Completed + Resolved,Completed + Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 1999,1,8,"7 days, 13 hours",652267000,"7 days, 13 hours",652267000,Accepted + Wait - Vendor,Accepted + Wait - Vendor,Queued + Awaiting Assignment,Accepted + In Progress,Accepted + Wait - Vendor,Accepted + In Progress,Completed + Resolved,Completed + Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 2000,1,12,"7 days, 13 hours",653865000,"7 days, 13 hours",653865000,Accepted + In Progress,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Accepted + In Progress,Accepted + Wait - User,Queued + Awaiting Assignment,Accepted + In Progress,Completed + Resolved,Completed + Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 2001,1,45,"8 days, 14 hours",743636000,"8 days, 14 hours",743636000,Accepted + In Progress,Accepted + In Progress,Accepted + Wait,Accepted + Assigned,Accepted + In Progress,Accepted + Assigned,Accepted + In Progress,Accepted + Assigned,Accepted + In Progress,Accepted + Assigned,Accepted + In Progress,Accepted + Assigned,Accepted + In Progress,Accepted + Wait - Vendor,Accepted + Wait - Vendor,Accepted + In Progress,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Accepted + Wait - User,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Completed + Resolved,Completed + Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 2002,1,28,"11 days, 13 hours",997706000,"11 days, 13 hours",997706000,Accepted + In Progress,Accepted + In Progress,Accepted + Assigned,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Accepted + In Progress,Accepted + Wait - Implementation,Queued + Awaiting Assignment,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Accepted + Wait,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Accepted + Assigned,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Completed + Resolved,Completed + Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 2003,1,15,"12 days, 14 hours",1088027000,"12 days, 14 hours",1088027000,Accepted + In Progress,Accepted + In Progress,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Accepted + Wait - User,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Accepted + Assigned,Accepted + In Progress,Completed + Resolved,Completed + Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 2004,1,11,"7 days, 14 hours",656842000,"7 days, 14 hours",656842000,Accepted + In Progress,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Accepted + Wait - User,Queued + Awaiting Assignment,Accepted + In Progress,Accepted + Assigned,Accepted + In Progress,Completed + Resolved,Completed + Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 2005,1,24,"18 days, 14 hours",1607296000,"18 days, 14 hours",1607296000,Accepted + In Progress,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Accepted + Assigned,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Accepted + Assigned,Accepted + In Progress,Accepted + Wait - User,Accepted + In Progress,Accepted + Assigned,Accepted + In Progress,Accepted + Wait - Implementation,Accepted + In Progress,Completed + Resolved,Completed + Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 2006,1,8,"1 day, 13 hours",136757000,"1 day, 13 hours",136757000,Accepted + In Progress,Accepted + In Progress,Accepted + Wait - Implementation,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Completed + Resolved,Completed + Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 2007,1,22,"11 days, 13 hours",1000100000,"11 days, 13 hours",1000100000,Accepted + In Progress,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Accepted + Assigned,Accepted + In Progress,Accepted + Wait - User,Accepted + In Progress,Accepted + Wait - User,Accepted + In Progress,Accepted + Wait - User,Accepted + In Progress,Accepted + Wait - User,Accepted + In Progress,Accepted + Wait - User,Queued + Awaiting Assignment,Accepted + In Progress,Queued + Awaiting Assignment,Queued + Awaiting Assignment,Accepted + In Progress,Completed + Resolved,Completed + Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 2008,1,6,"7 mins, 2 secs",422000,"7 mins, 2 secs",422000,Accepted + In Progress,Accepted + In Progress,Accepted + In Progress,Accepted + Wait,Accepted + In Progress,Completed + In Call,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 2009,1,25,"1 day, 12 hours",131326000,"1 day, 12 hours",131326000,Accepted + In Progress,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Accepted + Assigned,Accepted + In Progress,Accepted + Wait - User,Queued + Awaiting Assignment,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Accepted + Assigned,Accepted + In Progress,Completed + Resolved,Completed + Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 2010,1,13,"18 days, 13 hours",1604958000,"18 days, 13 hours",1604958000,Accepted + In Progress,Accepted + In Progress,Accepted + Wait,Accepted + In Progress,Accepted + Wait - User,Accepted + In Progress,Accepted + Wait - User,Accepted + Assigned,Accepted + In Progress,Accepted + Wait,Accepted + In Progress,Completed + Resolved,Completed + Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
