Variant,Cases,Events,Median duration,Median duration (milliseconds),Mean duration,Mean duration (milliseconds),Step 1,Step 2,Step 3,Step 4,Step 5,Step 6,Step 7,Step 8,Step 9,Step 10,Step 11,Step 12,Step 13,Step 14,Step 15,Step 16,Step 17,Step 18,Step 19,Step 20,Step 21,Step 22,Step 23,Step 24,Step 25,Step 26,Step 27,Step 28,Step 29,Step 30,Step 31,Step 32,Step 33,Step 34,Step 35,Step 36,Step 37,Step 38,Step 39,Step 40,Step 41,Step 42,Step 43,Step 44,Step 45,Step 46,Step 47,Step 48,Step 49,Step 50,Step 51,Step 52,Step 53,Step 54,Step 55,Step 56,Step 57,Step 58,Step 59,Step 60,Step 61,Step 62,Step 63,Step 64,Step 65,Step 66,Step 67,Step 68,Step 69,Step 70,Step 71,Step 72,Step 73,Step 74,Step 75,Step 76,Step 77,Step 78,Step 79,Step 80,Step 81,Step 82,Step 83,Step 84,Step 85,Step 86,Step 87,Step 88,Step 89,Step 90,Step 91,Step 92,Step 93,Step 94,Step 95,Step 96,Step 97,Step 98,Step 99,Step 100,Step 101,Step 102,Step 103,Step 104,Step 105,Step 106,Step 107,Step 108,Step 109,Step 110,Step 111,Step 112,Step 113,Step 114,Step 115,Step 116,Step 117,Step 118,Step 119,Step 120,Step 121,Step 122,Step 123,Step 124,Step 125,Step 126,Step 127,Step 128,Step 129,Step 130,Step 131,Step 132,Step 133,Step 134,Step 135,Step 136,Step 137,Step 138,Step 139,Step 140,Step 141,Step 142,Step 143,Step 144,Step 145,Step 146,Step 147,Step 148,Step 149,Step 150,Step 151,Step 152,Step 153,Step 154,Step 155,Step 156,Step 157,Step 158,Step 159,Step 160,Step 161,Step 162,Step 163,Step 164,Step 165,Step 166,Step 167,Step 168,Step 169,Step 170,Step 171,Step 172,Step 173,Step 174,Step 175,Step 176,Step 177,Step 178,Step 179,Step 180,Step 181,Step 182,Step 183,Step 184,Step 185
Variant 633,1,18,"79 days, 3 hours",6837362000,"79 days, 3 hours",6837362000,ER Registration,ER Triage,ER Sepsis Triage,CRP,Leucocytes,LacticAcid,IV Liquid,IV Antibiotics,Admission NC,CRP,Leucocytes,CRP,Leucocytes,CRP,CRP,Leucocytes,Release D,Return ER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 634,1,11,"3 days, 20 hours",331490000,"3 days, 20 hours",331490000,ER Registration,IV Liquid,ER Triage,ER Sepsis Triage,CRP,Leucocytes,IV Antibiotics,Admission NC,Leucocytes,CRP,Release A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 635,1,17,"316 days, 19 hours",27371845000,"316 days, 19 hours",27371845000,IV Liquid,ER Registration,ER Triage,ER Sepsis Triage,IV Antibiotics,Leucocytes,CRP,LacticAcid,Admission NC,Admission NC,CRP,Leucocytes,CRP,Leucocytes,CRP,Release A,Return ER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 636,1,10,"13 hours, 20 mins",48008000,"13 hours, 20 mins",48008000,ER Registration,ER Triage,ER Sepsis Triage,Leucocytes,CRP,LacticAcid,Admission NC,Leucocytes,CRP,LacticAcid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 637,1,15,"3 days, 19 hours",328273000,"3 days, 19 hours",328273000,ER Registration,ER Triage,ER Sepsis Triage,CRP,Leucocytes,LacticAcid,IV Liquid,IV Antibiotics,Admission NC,Leucocytes,CRP,Admission NC,CRP,Leucocytes,Release A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 638,1,15,"255 days, 14 hours",22083663000,"255 days, 14 hours",22083663000,ER Registration,ER Triage,ER Sepsis Triage,CRP,Leucocytes,LacticAcid,IV Liquid,IV Antibiotics,Admission NC,LacticAcid,Admission NC,Leucocytes,CRP,Release A,Return ER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 639,1,17,"26 days, 13 hours",2296219000,"26 days, 13 hours",2296219000,ER Registration,IV Liquid,ER Triage,ER Sepsis Triage,Leucocytes,CRP,LacticAcid,IV Antibiotics,Admission IC,Leucocytes,CRP,LacticAcid,Admission NC,Leucocytes,Admission NC,Release A,Return ER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 640,1,21,"32 days, 23 hours",2849616000,"32 days, 23 hours",2849616000,ER Registration,ER Triage,ER Sepsis Triage,CRP,LacticAcid,Leucocytes,IV Liquid,IV Antibiotics,Admission NC,Leucocytes,CRP,Leucocytes,CRP,CRP,Leucocytes,CRP,Leucocytes,CRP,Leucocytes,Release A,Return ER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 641,1,15,"187 days, 16 hours",16216007000,"187 days, 16 hours",16216007000,ER Registration,ER Triage,ER Sepsis Triage,LacticAcid,CRP,Leucocytes,IV Liquid,IV Antibiotics,Admission NC,CRP,Leucocytes,CRP,Leucocytes,Release A,Return ER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 642,1,20,"4 days, 4 hours",363466000,"4 days, 4 hours",363466000,ER Registration,ER Triage,ER Sepsis Triage,IV Liquid,IV Antibiotics,CRP,LacticAcid,Leucocytes,Admission IC,Leucocytes,CRP,LacticAcid,LacticAcid,CRP,Leucocytes,Admission NC,CRP,CRP,Leucocytes,Release A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 643,1,35,"21 days, 9 hours",1848796000,"21 days, 9 hours",1848796000,ER Registration,ER Triage,ER Sepsis Triage,LacticAcid,Leucocytes,CRP,IV Liquid,IV Antibiotics,Admission NC,Admission NC,CRP,Leucocytes,CRP,Admission IC,LacticAcid,CRP,Leucocytes,LacticAcid,Admission NC,Admission NC,CRP,Leucocytes,CRP,Leucocytes,CRP,Leucocytes,CRP,Leucocytes,CRP,Leucocytes,CRP,Leucocytes,CRP,Release A,Return ER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 644,1,11,"12 hours, 24 mins",44666000,"12 hours, 24 mins",44666000,ER Registration,ER Triage,ER Sepsis Triage,CRP,Leucocytes,LacticAcid,IV Antibiotics,IV Liquid,Admission NC,Leucocytes,CRP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 645,1,9,"6 hours, 58 secs",21658000,"6 hours, 58 secs",21658000,ER Registration,ER Triage,ER Sepsis Triage,IV Liquid,CRP,Leucocytes,LacticAcid,IV Antibiotics,LacticAcid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 646,1,24,"15 days, 13 hours",1345424000,"15 days, 13 hours",1345424000,ER Registration,ER Triage,ER Sepsis Triage,LacticAcid,Leucocytes,CRP,IV Antibiotics,Admission NC,CRP,Leucocytes,CRP,Leucocytes,CRP,Leucocytes,CRP,Leucocytes,CRP,CRP,Leucocytes,Release A,Return ER,CRP,Leucocytes,LacticAcid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 647,1,12,"5 days, 2 hours",439203000,"5 days, 2 hours",439203000,ER Registration,ER Triage,ER Sepsis Triage,Leucocytes,CRP,LacticAcid,IV Liquid,IV Antibiotics,Admission NC,Admission NC,Leucocytes,Release A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 648,1,17,"10 days, 15 hours",920572000,"10 days, 15 hours",920572000,ER Registration,ER Triage,ER Sepsis Triage,IV Liquid,IV Antibiotics,CRP,Leucocytes,LacticAcid,Admission NC,CRP,Leucocytes,CRP,Leucocytes,Leucocytes,CRP,CRP,Release A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 649,1,18,"15 days, 14 hours",1348028000,"15 days, 14 hours",1348028000,ER Registration,ER Triage,ER Sepsis Triage,CRP,LacticAcid,Leucocytes,IV Antibiotics,Admission NC,Leucocytes,CRP,Admission NC,IV Liquid,CRP,Leucocytes,Leucocytes,CRP,Release A,Return ER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 650,1,9,"207 days, 10 hours",17922434000,"207 days, 10 hours",17922434000,ER Registration,ER Triage,ER Sepsis Triage,Leucocytes,CRP,Admission NC,Admission NC,Release A,Return ER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 651,1,12,"364 days, 22 hours",31531116000,"364 days, 22 hours",31531116000,ER Registration,ER Triage,ER Sepsis Triage,IV Liquid,IV Antibiotics,LacticAcid,Leucocytes,CRP,Admission NC,CRP,Release A,Return ER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 652,1,13,"39 days, 6 hours",3392567000,"39 days, 6 hours",3392567000,ER Registration,ER Triage,ER Sepsis Triage,Leucocytes,CRP,LacticAcid,IV Liquid,IV Antibiotics,Admission NC,Admission NC,Leucocytes,Release A,Return ER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 653,1,15,"4 days, 17 hours",408916000,"4 days, 17 hours",408916000,ER Registration,ER Triage,ER Sepsis Triage,IV Antibiotics,CRP,LacticAcid,Leucocytes,IV Liquid,Admission NC,CRP,Leucocytes,Admission NC,CRP,Leucocytes,Release A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 654,1,12,"10 hours, 59 mins",39569000,"10 hours, 59 mins",39569000,IV Liquid,ER Registration,ER Triage,Leucocytes,CRP,LacticAcid,ER Sepsis Triage,IV Antibiotics,Admission IC,LacticAcid,CRP,Leucocytes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 655,1,15,"3 days, 6 hours",284032000,"3 days, 6 hours",284032000,ER Registration,ER Triage,ER Sepsis Triage,IV Liquid,LacticAcid,Leucocytes,CRP,IV Antibiotics,Admission IC,LacticAcid,CRP,Leucocytes,Admission NC,Admission NC,Release A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 656,1,23,"10 days, 1 min",864082000,"10 days, 1 min",864082000,ER Registration,ER Triage,ER Sepsis Triage,IV Liquid,IV Antibiotics,CRP,Leucocytes,LacticAcid,Admission NC,Leucocytes,CRP,Leucocytes,CRP,Leucocytes,CRP,Admission NC,Leucocytes,CRP,CRP,Leucocytes,Leucocytes,CRP,Release D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 657,1,16,"6 days, 2 hours",525979000,"6 days, 2 hours",525979000,ER Registration,ER Triage,ER Sepsis Triage,Leucocytes,CRP,LacticAcid,IV Liquid,IV Antibiotics,Admission NC,Admission NC,CRP,Leucocytes,LacticAcid,Leucocytes,CRP,Release A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 658,1,9,"116 days, 21 hours",10098646000,"116 days, 21 hours",10098646000,ER Registration,ER Triage,ER Sepsis Triage,Leucocytes,CRP,Admission NC,Leucocytes,Release A,Return ER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 659,1,10,"2 days, 18 hours",238454000,"2 days, 18 hours",238454000,ER Registration,ER Triage,ER Sepsis Triage,IV Liquid,IV Antibiotics,Leucocytes,CRP,LacticAcid,Admission NC,Release A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 660,1,30,"12 days, 3 hours",1049820000,"12 days, 3 hours",1049820000,Leucocytes,CRP,ER Registration,ER Triage,ER Sepsis Triage,CRP,LacticAcid,Leucocytes,IV Liquid,IV Antibiotics,Admission NC,Leucocytes,CRP,Admission NC,CRP,Leucocytes,Leucocytes,Leucocytes,CRP,Leucocytes,CRP,CRP,Leucocytes,CRP,Leucocytes,Leucocytes,CRP,Leucocytes,CRP,Release A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 661,1,31,"12 days, 5 hours",1056795000,"12 days, 5 hours",1056795000,IV Liquid,ER Registration,ER Triage,ER Sepsis Triage,LacticAcid,Leucocytes,CRP,IV Antibiotics,Admission IC,Leucocytes,CRP,LacticAcid,CRP,LacticAcid,Leucocytes,Admission NC,Leucocytes,CRP,Leucocytes,CRP,Leucocytes,CRP,Leucocytes,CRP,CRP,Leucocytes,Leucocytes,CRP,Leucocytes,CRP,Release A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 662,1,18,"74 days, 16 hours",6451747000,"74 days, 16 hours",6451747000,ER Registration,ER Triage,ER Sepsis Triage,IV Liquid,LacticAcid,Leucocytes,CRP,IV Antibiotics,Admission IC,CRP,Leucocytes,LacticAcid,LacticAcid,Leucocytes,Admission NC,CRP,Release A,Return ER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 663,1,9,"4 hours, 13 mins",15221000,"4 hours, 13 mins",15221000,ER Registration,ER Triage,ER Sepsis Triage,LacticAcid,CRP,Leucocytes,IV Liquid,IV Antibiotics,Admission NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 664,1,8,"52 mins, 10 secs",3130000,"52 mins, 10 secs",3130000,CRP,Leucocytes,LacticAcid,ER Registration,ER Triage,ER Sepsis Triage,IV Antibiotics,IV Liquid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 665,1,14,"7 days, 23 hours",689600000,"7 days, 23 hours",689600000,ER Registration,ER Triage,CRP,Leucocytes,LacticAcid,ER Sepsis Triage,IV Liquid,IV Antibiotics,Admission NC,CRP,Leucocytes,CRP,CRP,Release A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 666,1,14,"2 days, 7 hours",199414000,"2 days, 7 hours",199414000,ER Registration,ER Triage,ER Sepsis Triage,IV Liquid,LacticAcid,CRP,Leucocytes,IV Antibiotics,Admission NC,Leucocytes,CRP,Admission NC,CRP,Release A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 667,1,13,"142 days, 1 hour",12275474000,"142 days, 1 hour",12275474000,ER Registration,ER Triage,ER Sepsis Triage,CRP,Leucocytes,LacticAcid,IV Antibiotics,IV Liquid,Admission NC,Leucocytes,CRP,Release A,Return ER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 668,1,10,"1 day, 13 hours",136432000,"1 day, 13 hours",136432000,ER Registration,ER Triage,Leucocytes,CRP,LacticAcid,ER Sepsis Triage,IV Liquid,IV Antibiotics,Admission NC,Release A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 669,1,14,"3 days, 18 hours",327135000,"3 days, 18 hours",327135000,ER Registration,ER Triage,ER Sepsis Triage,Leucocytes,CRP,LacticAcid,IV Antibiotics,Admission NC,IV Liquid,Leucocytes,CRP,CRP,Leucocytes,Release A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 670,1,19,"5 days, 17 hours",495194000,"5 days, 17 hours",495194000,ER Registration,ER Triage,ER Sepsis Triage,IV Liquid,CRP,Leucocytes,LacticAcid,IV Antibiotics,Admission NC,Leucocytes,CRP,CRP,Leucocytes,Leucocytes,CRP,Release A,Return ER,CRP,Leucocytes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 671,1,13,"53 days, 6 hours",4603282000,"53 days, 6 hours",4603282000,ER Registration,IV Liquid,ER Triage,ER Sepsis Triage,IV Antibiotics,LacticAcid,Leucocytes,CRP,Admission NC,CRP,Leucocytes,Release A,Return ER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 672,1,30,"6 days, 11 hours",560857000,"6 days, 11 hours",560857000,ER Registration,ER Triage,ER Sepsis Triage,IV Liquid,CRP,LacticAcid,Leucocytes,IV Antibiotics,Admission NC,CRP,Leucocytes,CRP,CRP,Admission IC,Leucocytes,CRP,LacticAcid,Leucocytes,LacticAcid,Leucocytes,CRP,Leucocytes,LacticAcid,Leucocytes,Leucocytes,Leucocytes,Leucocytes,Leucocytes,Leucocytes,Release B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 673,1,21,"7 days, 23 hours",690949000,"7 days, 23 hours",690949000,ER Registration,ER Triage,ER Sepsis Triage,LacticAcid,CRP,Leucocytes,IV Liquid,IV Antibiotics,Admission NC,CRP,Leucocytes,Admission NC,Leucocytes,CRP,Leucocytes,CRP,Leucocytes,CRP,CRP,Leucocytes,Release A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
