Variant,Cases,Events,Median duration,Median duration (milliseconds),Mean duration,Mean duration (milliseconds),Step 1,Step 2,Step 3,Step 4,Step 5,Step 6,Step 7,Step 8,Step 9,Step 10,Step 11,Step 12,Step 13,Step 14,Step 15,Step 16,Step 17,Step 18,Step 19,Step 20,Step 21,Step 22,Step 23,Step 24,Step 25,Step 26,Step 27,Step 28,Step 29,Step 30,Step 31,Step 32,Step 33,Step 34,Step 35,Step 36,Step 37,Step 38,Step 39,Step 40,Step 41,Step 42,Step 43,Step 44,Step 45,Step 46,Step 47,Step 48,Step 49,Step 50,Step 51,Step 52,Step 53,Step 54,Step 55,Step 56,Step 57,Step 58,Step 59,Step 60,Step 61,Step 62,Step 63,Step 64,Step 65,Step 66,Step 67,Step 68,Step 69,Step 70,Step 71,Step 72,Step 73,Step 74,Step 75,Step 76,Step 77,Step 78,Step 79,Step 80,Step 81,Step 82,Step 83,Step 84,Step 85,Step 86,Step 87,Step 88,Step 89,Step 90,Step 91,Step 92,Step 93,Step 94,Step 95,Step 96,Step 97,Step 98,Step 99,Step 100,Step 101
Variant 978,1,56,73 days,6307200000,73 days,6307200000,01_HOOFD_010-complete,01_HOOFD_011-complete,01_HOOFD_020-complete,02_DRZ_010-complete,04_BPT_005-complete,01_HOOFD_065_0-complete,01_HOOFD_110_0-complete,01_HOOFD_061-complete,01_HOOFD_015-complete,01_HOOFD_030_1-complete,01_HOOFD_030_2-complete,06_VD_060_2-complete,06_VD_030_5-complete,06_VD_060_2a-complete,06_VD_030_5a-complete,06_VD_010-complete,01_HOOFD_180-complete,08_AWB45_005-complete,01_HOOFD_200-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_380-complete,06_VD_020-complete,06_VD_030_2-complete,03_VD_060_0-complete,01_HOOFD_430-complete,11_AH_II_010-complete,13_CRD_010-complete,01_HOOFD_480-complete,01_HOOFD_490_2-complete,06_VD_060_3-complete,01_HOOFD_375-complete,06_VD_030_1-complete,01_HOOFD_250_2-complete,01_HOOFD_250_1-complete,06_VD_030_1a-complete,01_HOOFD_490_1-complete,01_HOOFD_490_1a-complete,06_VD_035-complete,01_HOOFD_195-complete,06_VD_030_4-complete,01_HOOFD_370-complete,01_HOOFD_491-complete,01_HOOFD_500-complete,01_HOOFD_510_0-complete,01_HOOFD_515-complete,01_HOOFD_495-complete,01_HOOFD_490_4-complete,01_HOOFD_494a-complete,01_HOOFD_510_1-complete,01_HOOFD_510_4-complete,01_HOOFD_510_3-complete,01_HOOFD_490_5-complete,01_HOOFD_510_2-complete,01_HOOFD_490_5a-complete,01_HOOFD_510_2a-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 979,1,48,"52 days, 12 hours",4538787000,"52 days, 12 hours",4538787000,01_HOOFD_010-complete,01_HOOFD_011-complete,01_HOOFD_020-complete,02_DRZ_010-complete,04_BPT_005-complete,01_HOOFD_065_0-complete,01_HOOFD_015-complete,01_HOOFD_030_1-complete,01_HOOFD_061-complete,01_HOOFD_101-complete,01_HOOFD_030_2-complete,01_HOOFD_110_0-complete,01_HOOFD_100_0-complete,01_HOOFD_180-complete,08_AWB45_005-complete,01_HOOFD_200-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,11_AH_II_010-complete,13_CRD_010-complete,01_HOOFD_480-complete,01_HOOFD_490_2-complete,01_HOOFD_491-complete,01_HOOFD_492_0-complete,01_HOOFD_493-complete,01_HOOFD_490_1-complete,01_HOOFD_195-complete,01_HOOFD_250_2-complete,01_HOOFD_490_4-complete,01_HOOFD_370-complete,01_HOOFD_250_1-complete,01_HOOFD_491a-complete,01_HOOFD_494a-complete,01_HOOFD_375-complete,01_HOOFD_490_1a-complete,01_HOOFD_500-complete,01_HOOFD_510_0-complete,01_HOOFD_495-complete,01_HOOFD_490_5-complete,01_HOOFD_510_2a-complete,01_HOOFD_490_5a-complete,01_HOOFD_510_3-complete,01_HOOFD_515-complete,01_HOOFD_510_4-complete,01_HOOFD_510_1-complete,01_HOOFD_510_2-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 980,1,50,"49 days, 14 hours",4286867000,"49 days, 14 hours",4286867000,01_HOOFD_010-complete,01_HOOFD_011-complete,01_HOOFD_020-complete,02_DRZ_010-complete,01_HOOFD_050-complete,04_BPT_005-complete,01_HOOFD_065_0-complete,01_HOOFD_100_0-complete,01_HOOFD_101-complete,01_HOOFD_030_1-complete,01_HOOFD_061-complete,01_HOOFD_015-complete,01_HOOFD_030_2-complete,01_HOOFD_110_0-complete,01_HOOFD_180-complete,08_AWB45_005-complete,01_HOOFD_200-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,11_AH_II_010-complete,13_CRD_010-complete,01_HOOFD_480-complete,01_HOOFD_490_2-complete,01_HOOFD_490_1-complete,01_HOOFD_370-complete,01_HOOFD_250_1-complete,01_HOOFD_490_1a-complete,01_HOOFD_195-complete,01_HOOFD_055-complete,01_HOOFD_250_2-complete,01_HOOFD_375-complete,01_HOOFD_490_4-complete,01_HOOFD_491-complete,01_HOOFD_492_0-complete,01_HOOFD_493-complete,01_HOOFD_500-complete,01_HOOFD_510_0-complete,01_HOOFD_515-complete,01_HOOFD_495-complete,01_HOOFD_510_3-complete,01_HOOFD_491a-complete,01_HOOFD_494a-complete,01_HOOFD_510_4-complete,01_HOOFD_510_2a-complete,01_HOOFD_490_5a-complete,01_HOOFD_510_1-complete,01_HOOFD_490_5-complete,01_HOOFD_510_2-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 981,1,49,"44 days, 8 hours",3830720000,"44 days, 8 hours",3830720000,01_HOOFD_010-complete,01_HOOFD_011-complete,01_HOOFD_020-complete,02_DRZ_010-complete,04_BPT_005-complete,01_HOOFD_065_0-complete,01_HOOFD_100_0-complete,01_HOOFD_101-complete,01_HOOFD_015-complete,01_HOOFD_061-complete,01_HOOFD_030_1-complete,01_HOOFD_110_0-complete,01_HOOFD_180-complete,08_AWB45_005-complete,01_HOOFD_200-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,11_AH_II_010-complete,13_CRD_010-complete,01_HOOFD_480-complete,01_HOOFD_490_2-complete,01_HOOFD_491-complete,01_HOOFD_492_0-complete,01_HOOFD_493-complete,01_HOOFD_110_1-complete,01_HOOFD_494a-complete,01_HOOFD_370-complete,01_HOOFD_110_2-complete,01_HOOFD_250_2-complete,01_HOOFD_490_1a-complete,01_HOOFD_195-complete,01_HOOFD_490_1-complete,01_HOOFD_491a-complete,01_HOOFD_375-complete,01_HOOFD_490_4-complete,01_HOOFD_250_1-complete,01_HOOFD_500-complete,01_HOOFD_510_0-complete,01_HOOFD_510_4-complete,01_HOOFD_510_1-complete,01_HOOFD_510_2a-complete,01_HOOFD_495-complete,01_HOOFD_515-complete,01_HOOFD_490_5-complete,01_HOOFD_510_3-complete,01_HOOFD_490_5a-complete,01_HOOFD_510_2-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 982,1,25,"132 days, 17 hours",11467006000,"132 days, 17 hours",11467006000,01_HOOFD_010-complete,01_HOOFD_011-complete,01_HOOFD_020-complete,02_DRZ_010-complete,04_BPT_005-complete,01_HOOFD_015-complete,01_HOOFD_030_1-complete,01_HOOFD_030_2-complete,04_BPT_010-complete,04_BPT_020-complete,04_BPT_040-complete,04_BPT_060-complete,01_HOOFD_065_0-complete,01_HOOFD_090-complete,01_HOOFD_110_0-complete,01_HOOFD_180-complete,04_BPT_029-complete,04_BPT_041-complete,04_BPT_021-complete,08_AWB45_005-complete,08_AWB45_010-complete,08_AWB45_020_0-complete,08_AWB45_020_1-complete,08_AWB45_025-complete,08_AWB45_020_2-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 983,1,86,"1 year, 82 days",38620800000,"1 year, 82 days",38620800000,01_HOOFD_010-complete,01_HOOFD_011-complete,01_HOOFD_020-complete,02_DRZ_010-complete,01_HOOFD_030_1-complete,01_HOOFD_015-complete,01_HOOFD_030_2-complete,04_BPT_005-complete,04_BPT_010-complete,04_BPT_020-complete,04_BPT_040-complete,04_BPT_050-complete,04_BPT_060-complete,01_HOOFD_065_0-complete,01_HOOFD_090-complete,01_HOOFD_110_0-complete,01_HOOFD_180-complete,08_AWB45_005-complete,01_HOOFD_200-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_380-complete,01_HOOFD_446-complete,01_HOOFD_450-complete,01_HOOFD_455-complete,10_UOV_010-complete,10_UOV_039-complete,10_UOV_050_0-complete,01_HOOFD_440_1-complete,01_HOOFD_250_1-complete,01_HOOFD_370-complete,04_BPT_021-complete,10_UOV_050_3-complete,01_HOOFD_465-complete,10_UOV_050_1-complete,01_HOOFD_250_2-complete,01_HOOFD_445-complete,01_HOOFD_440_2-complete,01_HOOFD_195-complete,01_HOOFD_459-complete,01_HOOFD_375-complete,04_BPT_041-complete,01_HOOFD_440_1a-complete,04_BPT_029-complete,10_UOV_050_4-complete,10_UOV_050_2a-complete,01_HOOFD_460-complete,01_HOOFD_460a-complete,10_UOV_050_2-complete,10_UOV_030-complete,10_UOV_030a-complete,11_AH_II_010-complete,13_CRD_010-complete,01_HOOFD_490_2-complete,01_HOOFD_491-complete,01_HOOFD_500-complete,01_HOOFD_510_0-complete,10_UOV_060-complete,01_HOOFD_510_4-complete,01_HOOFD_515-complete,10_UOV_041b-complete,01_HOOFD_490_1-complete,01_HOOFD_495-complete,01_HOOFD_494a-complete,01_HOOFD_510_3-complete,01_HOOFD_809b-complete,01_HOOFD_490_1a-complete,01_HOOFD_510_1-complete,01_HOOFD_490_4-complete,01_HOOFD_490_5a-complete,01_HOOFD_510_2a-complete,01_HOOFD_490_5-complete,01_HOOFD_510_2-complete,01_HOOFD_516-complete,01_HOOFD_516a-complete,01_BB_770-complete,01_HOOFD_810-complete,01_BB_630-complete,01_HOOFD_814-complete,01_BB_775-complete,01_HOOFD_811-complete,01_HOOFD_820-complete,01_HOOFD_809-complete,01_HOOFD_815-complete,01_HOOFD_809c-complete,01_HOOFD_532-complete,,,,,,,,,,,,,,,
Variant 984,1,47,33 days,2851200000,33 days,2851200000,01_HOOFD_010-complete,01_HOOFD_011-complete,01_HOOFD_020-complete,02_DRZ_010-complete,01_HOOFD_050-complete,04_BPT_005-complete,01_HOOFD_065_0-complete,01_HOOFD_100_0-complete,01_HOOFD_061-complete,01_HOOFD_030_1-complete,01_HOOFD_015-complete,01_HOOFD_101-complete,01_HOOFD_030_2-complete,01_HOOFD_110_0-complete,01_HOOFD_180-complete,08_AWB45_005-complete,01_HOOFD_200-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,11_AH_II_010-complete,13_CRD_010-complete,01_HOOFD_480-complete,01_HOOFD_490_2-complete,01_HOOFD_055-complete,01_HOOFD_250_1-complete,01_HOOFD_375-complete,01_HOOFD_195-complete,01_HOOFD_250_2-complete,01_HOOFD_490_1a-complete,01_HOOFD_370-complete,01_HOOFD_490_1-complete,01_HOOFD_491-complete,01_HOOFD_500-complete,01_HOOFD_510_0-complete,01_HOOFD_495-complete,01_HOOFD_490_4-complete,01_HOOFD_510_4-complete,01_HOOFD_510_1-complete,01_HOOFD_494a-complete,01_HOOFD_515-complete,01_HOOFD_510_3-complete,01_HOOFD_510_2a-complete,01_HOOFD_510_2-complete,01_HOOFD_490_5-complete,01_HOOFD_490_5a-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 985,1,52,"46 days, 14 hours",4026860000,"46 days, 14 hours",4026860000,01_HOOFD_010-complete,01_HOOFD_011-complete,01_HOOFD_020-complete,02_DRZ_010-complete,01_HOOFD_050-complete,04_BPT_005-complete,01_HOOFD_065_0-complete,01_HOOFD_100_0-complete,01_HOOFD_101-complete,01_HOOFD_015-complete,01_HOOFD_030_1-complete,01_HOOFD_061-complete,01_HOOFD_030_2-complete,01_HOOFD_110_0-complete,01_HOOFD_180-complete,08_AWB45_005-complete,01_HOOFD_200-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,11_AH_II_010-complete,13_CRD_010-complete,01_HOOFD_480-complete,01_HOOFD_490_2-complete,01_HOOFD_491-complete,01_HOOFD_492_0-complete,01_HOOFD_491a-complete,01_HOOFD_195-complete,01_HOOFD_490_4-complete,01_HOOFD_375-complete,01_HOOFD_250_1-complete,01_HOOFD_492_1-complete,01_HOOFD_492_2-complete,01_HOOFD_490_1-complete,01_HOOFD_250_2-complete,01_HOOFD_055-complete,01_HOOFD_490_1a-complete,01_HOOFD_370-complete,01_HOOFD_493-complete,01_HOOFD_500-complete,01_HOOFD_510_0-complete,01_HOOFD_510_2a-complete,01_HOOFD_495-complete,01_HOOFD_515-complete,01_HOOFD_510_3-complete,01_HOOFD_510_1-complete,01_HOOFD_510_4-complete,01_HOOFD_494a-complete,01_HOOFD_490_5a-complete,01_HOOFD_490_5-complete,01_HOOFD_510_2-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 986,1,17,69 days,5961600000,69 days,5961600000,01_HOOFD_010-complete,01_HOOFD_011-complete,01_HOOFD_020-complete,02_DRZ_010-complete,04_BPT_005-complete,01_HOOFD_065_0-complete,01_HOOFD_110_0-complete,01_HOOFD_180-complete,01_HOOFD_101-complete,01_HOOFD_061-complete,01_HOOFD_015-complete,01_HOOFD_030_1-complete,05_EIND_010-complete,05_EIND_011-complete,05_EIND_020-complete,05_EIND_030_0-complete,05_EIND_025-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 987,1,53,88 days,7603200000,88 days,7603200000,01_HOOFD_010-complete,01_HOOFD_011-complete,01_HOOFD_020-complete,02_DRZ_010-complete,04_BPT_005-complete,01_HOOFD_065_0-complete,01_HOOFD_100_0-complete,01_HOOFD_030_1-complete,01_HOOFD_101-complete,01_HOOFD_015-complete,01_HOOFD_061-complete,01_HOOFD_030_2-complete,01_HOOFD_110_0-complete,01_HOOFD_180-complete,08_AWB45_005-complete,01_HOOFD_200-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,11_AH_II_010-complete,13_CRD_010-complete,01_HOOFD_480-complete,01_HOOFD_490_2-complete,01_HOOFD_500-complete,01_HOOFD_510_0-complete,01_HOOFD_510_3-complete,01_HOOFD_510_4-complete,01_HOOFD_490_1-complete,01_HOOFD_510_1-complete,01_HOOFD_250_2-complete,01_HOOFD_375-complete,01_HOOFD_515-complete,01_HOOFD_490_1a-complete,01_HOOFD_195-complete,01_HOOFD_370-complete,01_HOOFD_490_4-complete,01_HOOFD_250_1-complete,01_HOOFD_495-complete,01_HOOFD_510_2a-complete,01_HOOFD_490_3-complete,01_HOOFD_490_3a-complete,01_HOOFD_510_2-complete,01_BB_770-complete,01_HOOFD_810-complete,01_BB_540-complete,01_HOOFD_820-complete,01_HOOFD_811-complete,01_BB_775-complete,01_HOOFD_814-complete,01_HOOFD_815-complete,01_HOOFD_809c-complete,01_HOOFD_809-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 988,1,60,53 days,4579200000,53 days,4579200000,01_HOOFD_010-complete,01_HOOFD_011-complete,01_HOOFD_020-complete,02_DRZ_010-complete,04_BPT_005-complete,01_HOOFD_065_0-complete,01_HOOFD_100_0-complete,01_HOOFD_030_1-complete,01_HOOFD_061-complete,01_HOOFD_015-complete,01_HOOFD_101-complete,01_HOOFD_030_2-complete,01_HOOFD_110_0-complete,01_HOOFD_180-complete,08_AWB45_005-complete,08_AWB45_010-complete,08_AWB45_020_0-complete,08_AWB45_020_1-complete,08_AWB45_025-complete,08_AWB45_020_2-complete,08_AWB45_030-complete,08_AWB45_040-complete,08_AWB45_051_0-complete,01_HOOFD_193-complete,08_AWB45_005-complete,01_HOOFD_196-complete,01_HOOFD_200-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,11_AH_II_010-complete,13_CRD_010-complete,01_HOOFD_480-complete,01_HOOFD_490_2-complete,01_HOOFD_370-complete,01_HOOFD_250_1-complete,01_HOOFD_195-complete,01_HOOFD_375-complete,01_HOOFD_490_1a-complete,08_AWB45_045-complete,01_HOOFD_490_1-complete,01_HOOFD_250_2-complete,01_HOOFD_491-complete,01_HOOFD_492_0-complete,01_HOOFD_493-complete,01_HOOFD_491a-complete,01_HOOFD_494a-complete,01_HOOFD_490_4-complete,01_HOOFD_500-complete,01_HOOFD_510_0-complete,01_HOOFD_510_4-complete,01_HOOFD_495-complete,01_HOOFD_510_1-complete,01_HOOFD_510_3-complete,01_HOOFD_515-complete,01_HOOFD_510_2-complete,01_HOOFD_490_5a-complete,01_HOOFD_490_5-complete,01_HOOFD_510_2a-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 989,1,45,"44 days, 10 hours",3839993000,"44 days, 10 hours",3839993000,01_HOOFD_010-complete,01_HOOFD_011-complete,01_HOOFD_020-complete,02_DRZ_010-complete,04_BPT_005-complete,01_HOOFD_065_0-complete,01_HOOFD_100_0-complete,01_HOOFD_101-complete,01_HOOFD_061-complete,01_HOOFD_015-complete,01_HOOFD_030_1-complete,01_HOOFD_110_0-complete,01_HOOFD_180-complete,08_AWB45_005-complete,01_HOOFD_200-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,11_AH_II_010-complete,13_CRD_010-complete,01_HOOFD_480-complete,01_HOOFD_490_2-complete,01_HOOFD_491-complete,01_HOOFD_492_0-complete,01_HOOFD_493-complete,01_HOOFD_195-complete,01_HOOFD_490_1a-complete,01_HOOFD_490_1-complete,01_HOOFD_491a-complete,01_HOOFD_494a-complete,01_HOOFD_375-complete,01_HOOFD_490_4-complete,01_HOOFD_370-complete,01_HOOFD_250_1-complete,01_HOOFD_250_2-complete,01_HOOFD_490_5a-complete,01_HOOFD_490_5-complete,01_HOOFD_500-complete,01_HOOFD_510_0-complete,01_HOOFD_515-complete,01_HOOFD_495-complete,01_HOOFD_510_3-complete,01_HOOFD_510_2a-complete,01_HOOFD_510_2-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 990,1,11,6 days,518400000,6 days,518400000,01_HOOFD_010-complete,01_HOOFD_011-complete,01_HOOFD_020-complete,02_DRZ_010-complete,04_BPT_005-complete,01_HOOFD_065_0-complete,01_HOOFD_100_0-complete,01_HOOFD_015-complete,01_HOOFD_101-complete,01_HOOFD_061-complete,01_HOOFD_030_1-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 991,1,45,33 days,2851200000,33 days,2851200000,01_HOOFD_010-complete,01_HOOFD_011-complete,01_HOOFD_020-complete,02_DRZ_010-complete,04_BPT_005-complete,01_HOOFD_065_0-complete,01_HOOFD_100_0-complete,01_HOOFD_015-complete,01_HOOFD_061-complete,01_HOOFD_101-complete,01_HOOFD_030_1-complete,01_HOOFD_030_2-complete,01_HOOFD_110_0-complete,01_HOOFD_180-complete,08_AWB45_005-complete,01_HOOFD_200-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,11_AH_II_010-complete,13_CRD_010-complete,01_HOOFD_480-complete,01_HOOFD_490_2-complete,01_HOOFD_491-complete,01_HOOFD_500-complete,01_HOOFD_510_0-complete,01_HOOFD_515-complete,01_HOOFD_490_1-complete,01_HOOFD_510_3-complete,01_HOOFD_490_4-complete,01_HOOFD_375-complete,01_HOOFD_195-complete,01_HOOFD_494a-complete,01_HOOFD_490_1a-complete,01_HOOFD_510_1-complete,01_HOOFD_510_4-complete,01_HOOFD_495-complete,01_HOOFD_370-complete,01_HOOFD_250_2-complete,01_HOOFD_250_1-complete,01_HOOFD_490_5-complete,01_HOOFD_490_5a-complete,01_HOOFD_510_2a-complete,01_HOOFD_510_2-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 992,1,52,77 days,6652800000,77 days,6652800000,01_HOOFD_010-complete,01_HOOFD_011-complete,01_HOOFD_020-complete,02_DRZ_010-complete,04_BPT_005-complete,01_HOOFD_065_0-complete,01_HOOFD_110_0-complete,01_HOOFD_180-complete,08_AWB45_005-complete,01_HOOFD_200-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,11_AH_II_010-complete,13_CRD_010-complete,01_HOOFD_480-complete,01_HOOFD_490_2-complete,01_HOOFD_491-complete,01_HOOFD_500-complete,01_HOOFD_510_0-complete,01_HOOFD_061-complete,01_HOOFD_015-complete,01_HOOFD_370-complete,01_HOOFD_490_1a-complete,01_HOOFD_375-complete,01_HOOFD_490_1-complete,01_HOOFD_494a-complete,01_HOOFD_510_1-complete,01_HOOFD_495-complete,01_HOOFD_515-complete,01_HOOFD_510_4-complete,01_HOOFD_250_1-complete,01_HOOFD_195-complete,01_HOOFD_490_4-complete,01_HOOFD_250_2-complete,01_HOOFD_510_3-complete,01_HOOFD_490_5a-complete,01_HOOFD_490_5-complete,01_HOOFD_510_2a-complete,01_HOOFD_510_2-complete,01_BB_770-complete,01_HOOFD_810-complete,01_BB_540-complete,01_HOOFD_809c-complete,01_HOOFD_814-complete,01_HOOFD_101b-complete,01_BB_775-complete,01_HOOFD_811-complete,01_HOOFD_809-complete,01_HOOFD_815-complete,01_HOOFD_820-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 993,1,48,14 days,1209600000,14 days,1209600000,01_HOOFD_010-complete,01_HOOFD_011-complete,01_HOOFD_020-complete,02_DRZ_010-complete,04_BPT_005-complete,01_HOOFD_065_0-complete,01_HOOFD_100_0-complete,01_HOOFD_101-complete,01_HOOFD_061-complete,01_HOOFD_030_1-complete,01_HOOFD_015-complete,01_HOOFD_030_2-complete,01_HOOFD_110_0-complete,01_HOOFD_180-complete,08_AWB45_005-complete,01_HOOFD_200-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,11_AH_II_010-complete,13_CRD_010-complete,01_HOOFD_480-complete,01_HOOFD_490_2-complete,01_HOOFD_491-complete,01_HOOFD_492_0-complete,01_HOOFD_493-complete,01_HOOFD_500-complete,01_HOOFD_510_0-complete,01_HOOFD_510_4-complete,01_HOOFD_250_1-complete,01_HOOFD_490_1a-complete,01_HOOFD_515-complete,01_HOOFD_510_3-complete,01_HOOFD_370-complete,01_HOOFD_250_2-complete,01_HOOFD_491a-complete,01_HOOFD_490_1-complete,01_HOOFD_494a-complete,01_HOOFD_375-complete,01_HOOFD_195-complete,01_HOOFD_510_1-complete,01_HOOFD_490_4-complete,01_HOOFD_495-complete,01_HOOFD_490_5-complete,01_HOOFD_490_5a-complete,01_HOOFD_510_2-complete,01_HOOFD_510_2a-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 994,1,48,29 days,2505600000,29 days,2505600000,01_HOOFD_010-complete,01_HOOFD_011-complete,01_HOOFD_020-complete,02_DRZ_010-complete,04_BPT_005-complete,01_HOOFD_065_0-complete,01_HOOFD_100_0-complete,01_HOOFD_061-complete,01_HOOFD_015-complete,01_HOOFD_101-complete,01_HOOFD_030_1-complete,01_HOOFD_030_2-complete,01_HOOFD_110_0-complete,01_HOOFD_180-complete,08_AWB45_005-complete,01_HOOFD_200-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,11_AH_II_010-complete,13_CRD_010-complete,01_HOOFD_480-complete,01_HOOFD_490_2-complete,01_HOOFD_491-complete,01_HOOFD_492_0-complete,01_HOOFD_493-complete,01_HOOFD_500-complete,01_HOOFD_510_0-complete,01_HOOFD_491a-complete,01_HOOFD_510_3-complete,01_HOOFD_490_5a-complete,01_HOOFD_195-complete,01_HOOFD_250_2-complete,01_HOOFD_495-complete,01_HOOFD_375-complete,01_HOOFD_370-complete,01_HOOFD_490_4-complete,01_HOOFD_494a-complete,01_HOOFD_515-complete,01_HOOFD_490_1a-complete,01_HOOFD_250_1-complete,01_HOOFD_510_4-complete,01_HOOFD_510_1-complete,01_HOOFD_490_1-complete,01_HOOFD_490_5-complete,01_HOOFD_510_2-complete,01_HOOFD_510_2a-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 995,1,46,"28 days, 9 hours",2452456000,"28 days, 9 hours",2452456000,01_HOOFD_010-complete,01_HOOFD_011-complete,01_HOOFD_020-complete,02_DRZ_010-complete,04_BPT_005-complete,01_HOOFD_065_0-complete,01_HOOFD_100_0-complete,01_HOOFD_015-complete,01_HOOFD_061-complete,01_HOOFD_030_1-complete,01_HOOFD_101-complete,01_HOOFD_030_2-complete,01_HOOFD_110_0-complete,01_HOOFD_180-complete,08_AWB45_005-complete,01_HOOFD_200-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,11_AH_II_010-complete,13_CRD_010-complete,01_HOOFD_480-complete,01_HOOFD_490_2-complete,01_HOOFD_491-complete,01_HOOFD_492_0-complete,01_HOOFD_493-complete,01_HOOFD_490_4-complete,01_HOOFD_490_5a-complete,01_HOOFD_375-complete,01_HOOFD_250_1-complete,01_HOOFD_490_1-complete,01_HOOFD_491a-complete,01_HOOFD_250_2-complete,01_HOOFD_195-complete,01_HOOFD_370-complete,01_HOOFD_494a-complete,01_HOOFD_490_1a-complete,01_HOOFD_490_5-complete,01_HOOFD_500-complete,01_HOOFD_510_0-complete,01_HOOFD_510_2a-complete,01_HOOFD_495-complete,01_HOOFD_510_3-complete,01_HOOFD_515-complete,01_HOOFD_510_2-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
