Variant,Cases,Events,Median duration,Median duration (milliseconds),Mean duration,Mean duration (milliseconds),Step 1,Step 2,Step 3,Step 4,Step 5,Step 6,Step 7,Step 8,Step 9,Step 10,Step 11,Step 12,Step 13,Step 14,Step 15,Step 16,Step 17,Step 18,Step 19,Step 20,Step 21,Step 22,Step 23,Step 24,Step 25,Step 26,Step 27,Step 28,Step 29,Step 30,Step 31,Step 32,Step 33,Step 34,Step 35,Step 36,Step 37,Step 38,Step 39,Step 40,Step 41,Step 42,Step 43,Step 44,Step 45,Step 46,Step 47,Step 48,Step 49,Step 50,Step 51,Step 52,Step 53,Step 54,Step 55,Step 56,Step 57,Step 58,Step 59,Step 60,Step 61,Step 62,Step 63,Step 64,Step 65,Step 66,Step 67,Step 68,Step 69,Step 70,Step 71,Step 72,Step 73,Step 74,Step 75,Step 76,Step 77,Step 78,Step 79,Step 80,Step 81,Step 82,Step 83,Step 84,Step 85,Step 86,Step 87,Step 88,Step 89,Step 90,Step 91,Step 92,Step 93,Step 94,Step 95,Step 96,Step 97,Step 98,Step 99,Step 100,Step 101,Step 102,Step 103,Step 104,Step 105,Step 106,Step 107,Step 108,Step 109,Step 110,Step 111,Step 112,Step 113,Step 114,Step 115,Step 116
Variant 11,1,55,"57 days, 11 hours",4965261000,"57 days, 11 hours",4965261000,01_HOOFD_010-complete,01_HOOFD_011-complete,01_HOOFD_020-complete,02_DRZ_010-complete,04_BPT_005-complete,01_HOOFD_065_0-complete,01_HOOFD_090-complete,01_HOOFD_110_0-complete,01_HOOFD_180-complete,01_HOOFD_065_1-complete,01_HOOFD_061-complete,01_HOOFD_015-complete,01_HOOFD_065_2-complete,08_AWB45_005-complete,01_HOOFD_200-complete,01_HOOFD_250_0-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,11_AH_II_010-complete,13_CRD_010-complete,01_HOOFD_480-complete,01_HOOFD_375-complete,01_HOOFD_490_1-complete,01_HOOFD_195-complete,06_VD_010-complete,06_VD_020-complete,06_VD_030_2-complete,03_VD_060_0-complete,06_VD_030_1a-complete,06_VD_060_3-complete,06_VD_035-complete,06_VD_030_4-complete,06_VD_060_2a-complete,06_VD_030_5a-complete,06_VD_030_1-complete,06_VD_030_5-complete,06_VD_060_2-complete,01_HOOFD_490_2-complete,01_HOOFD_491-complete,01_HOOFD_490_4-complete,01_HOOFD_490_1a-complete,01_HOOFD_494a-complete,01_HOOFD_500-complete,01_HOOFD_510_0-complete,01_HOOFD_495-complete,01_HOOFD_510_3-complete,01_HOOFD_490_5-complete,01_HOOFD_515-complete,01_HOOFD_510_2a-complete,01_HOOFD_510_4-complete,01_HOOFD_490_5a-complete,01_HOOFD_510_1-complete,01_HOOFD_510_2-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 12,1,41,20 days,1728000000,20 days,1728000000,01_HOOFD_010-complete,01_HOOFD_011-complete,01_HOOFD_020-complete,02_DRZ_010-complete,04_BPT_005-complete,01_HOOFD_065_0-complete,01_HOOFD_061-complete,01_HOOFD_015-complete,01_HOOFD_090-complete,01_HOOFD_110_0-complete,01_HOOFD_180-complete,08_AWB45_005-complete,01_HOOFD_200-complete,01_HOOFD_250_0-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,11_AH_II_010-complete,13_CRD_010-complete,01_HOOFD_480-complete,01_HOOFD_490_2-complete,01_HOOFD_490_1a-complete,01_HOOFD_375-complete,01_HOOFD_065_1-complete,01_HOOFD_490_1-complete,01_HOOFD_195-complete,01_HOOFD_491-complete,01_HOOFD_500-complete,01_HOOFD_510_0-complete,01_HOOFD_490_5a-complete,01_HOOFD_490_4-complete,01_HOOFD_510_1-complete,01_HOOFD_494a-complete,01_HOOFD_495-complete,01_HOOFD_490_5-complete,01_HOOFD_510_2a-complete,01_HOOFD_510_4-complete,01_HOOFD_515-complete,01_HOOFD_510_3-complete,01_HOOFD_510_2-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 13,1,42,"39 days, 8 hours",3401095000,"39 days, 8 hours",3401095000,01_HOOFD_010-complete,04_BPT_005-complete,01_HOOFD_065_0-complete,01_HOOFD_090-complete,01_HOOFD_110_0-complete,01_HOOFD_180-complete,01_HOOFD_011-complete,01_HOOFD_020-complete,02_DRZ_010-complete,01_HOOFD_065_1-complete,01_HOOFD_015-complete,01_HOOFD_061-complete,01_HOOFD_065_2-complete,01_HOOFD_200-complete,01_HOOFD_250_0-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,11_AH_II_010-complete,13_CRD_010-complete,01_HOOFD_480-complete,01_HOOFD_490_2-complete,08_AWB45_005-complete,01_HOOFD_490_1a-complete,01_HOOFD_490_1-complete,01_HOOFD_195-complete,01_HOOFD_375-complete,01_HOOFD_491-complete,01_HOOFD_500-complete,01_HOOFD_510_0-complete,01_HOOFD_490_4-complete,01_HOOFD_495-complete,01_HOOFD_490_5a-complete,01_HOOFD_494a-complete,01_HOOFD_490_5-complete,01_HOOFD_515-complete,01_HOOFD_510_1-complete,01_HOOFD_510_3-complete,01_HOOFD_510_4-complete,01_HOOFD_510_2a-complete,01_HOOFD_510_2-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 14,1,42,13 days,1123200000,13 days,1123200000,01_HOOFD_010-complete,01_HOOFD_011-complete,01_HOOFD_020-complete,02_DRZ_010-complete,04_BPT_005-complete,01_HOOFD_065_0-complete,01_HOOFD_090-complete,01_HOOFD_110_0-complete,01_HOOFD_180-complete,01_HOOFD_015-complete,01_HOOFD_065_1-complete,01_HOOFD_061-complete,01_HOOFD_065_2-complete,01_HOOFD_200-complete,01_HOOFD_250_0-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,11_AH_II_010-complete,13_CRD_010-complete,01_HOOFD_480-complete,01_HOOFD_490_2-complete,01_HOOFD_491-complete,01_HOOFD_500-complete,01_HOOFD_510_0-complete,08_AWB45_005-complete,01_HOOFD_375-complete,01_HOOFD_510_1-complete,01_HOOFD_495-complete,01_HOOFD_490_4-complete,01_HOOFD_490_1a-complete,01_HOOFD_490_5a-complete,01_HOOFD_490_1-complete,01_HOOFD_494a-complete,01_HOOFD_195-complete,01_HOOFD_490_5-complete,01_HOOFD_515-complete,01_HOOFD_510_2-complete,01_HOOFD_510_3-complete,01_HOOFD_510_4-complete,01_HOOFD_510_2a-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 15,1,42,"6 days, 10 hours",554661000,"6 days, 10 hours",554661000,01_HOOFD_011-complete,01_HOOFD_020-complete,02_DRZ_010-complete,04_BPT_005-complete,01_HOOFD_065_0-complete,01_HOOFD_010-complete,01_HOOFD_061-complete,01_HOOFD_015-complete,01_HOOFD_090-complete,01_HOOFD_110_0-complete,01_HOOFD_180-complete,01_HOOFD_065_1-complete,01_HOOFD_065_2-complete,08_AWB45_005-complete,01_HOOFD_200-complete,01_HOOFD_250_0-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,11_AH_II_010-complete,13_CRD_010-complete,01_HOOFD_480-complete,01_HOOFD_490_2-complete,01_HOOFD_491-complete,01_HOOFD_500-complete,01_HOOFD_510_0-complete,01_HOOFD_195-complete,01_HOOFD_490_5a-complete,01_HOOFD_490_1a-complete,01_HOOFD_375-complete,01_HOOFD_490_1-complete,01_HOOFD_490_4-complete,01_HOOFD_495-complete,01_HOOFD_494a-complete,01_HOOFD_490_5-complete,01_HOOFD_510_1-complete,01_HOOFD_510_4-complete,01_HOOFD_515-complete,01_HOOFD_510_2a-complete,01_HOOFD_510_3-complete,01_HOOFD_510_2-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 16,1,42,6 days,518400000,6 days,518400000,01_HOOFD_011-complete,01_HOOFD_020-complete,02_DRZ_010-complete,04_BPT_005-complete,01_HOOFD_065_0-complete,01_HOOFD_015-complete,01_HOOFD_010-complete,01_HOOFD_061-complete,01_HOOFD_090-complete,01_HOOFD_110_0-complete,01_HOOFD_180-complete,01_HOOFD_065_1-complete,01_HOOFD_065_2-complete,01_HOOFD_250_0-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,11_AH_II_010-complete,13_CRD_010-complete,01_HOOFD_480-complete,01_HOOFD_490_2-complete,01_HOOFD_491-complete,01_HOOFD_500-complete,01_HOOFD_510_0-complete,08_AWB45_005-complete,01_HOOFD_200-complete,01_HOOFD_495-complete,01_HOOFD_490_5a-complete,01_HOOFD_490_1a-complete,01_HOOFD_490_1-complete,01_HOOFD_494a-complete,01_HOOFD_490_4-complete,01_HOOFD_375-complete,01_HOOFD_195-complete,01_HOOFD_510_1-complete,01_HOOFD_490_5-complete,01_HOOFD_510_4-complete,01_HOOFD_510_2a-complete,01_HOOFD_510_2-complete,01_HOOFD_510_3-complete,01_HOOFD_515-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 17,1,53,"29 days, 10 hours",2543729000,"29 days, 10 hours",2543729000,01_HOOFD_011-complete,01_HOOFD_020-complete,02_DRZ_010-complete,04_BPT_005-complete,01_HOOFD_065_0-complete,01_HOOFD_090-complete,01_HOOFD_110_0-complete,01_HOOFD_180-complete,01_HOOFD_015-complete,01_HOOFD_065_1-complete,01_HOOFD_010-complete,01_HOOFD_061-complete,01_HOOFD_065_2-complete,08_AWB45_010-complete,08_AWB45_020_0-complete,08_AWB45_005-complete,08_AWB45_020_2-complete,08_AWB45_025-complete,08_AWB45_020_1-complete,08_AWB45_040-complete,08_AWB45_030-complete,08_AWB45_051_0-complete,08_AWB45_045-complete,01_HOOFD_250_0-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,11_AH_II_010-complete,13_CRD_010-complete,01_HOOFD_480-complete,01_HOOFD_490_2-complete,08_AWB45_005-complete,01_HOOFD_196-complete,01_HOOFD_200-complete,01_HOOFD_490_1a-complete,01_HOOFD_195-complete,01_HOOFD_490_1-complete,01_HOOFD_375-complete,01_HOOFD_491-complete,01_HOOFD_500-complete,01_HOOFD_510_0-complete,01_HOOFD_510_2a-complete,01_HOOFD_515-complete,01_HOOFD_495-complete,01_HOOFD_510_4-complete,01_HOOFD_494a-complete,01_HOOFD_490_4-complete,01_HOOFD_490_5a-complete,01_HOOFD_510_1-complete,01_HOOFD_510_3-complete,01_HOOFD_490_5-complete,01_HOOFD_510_2-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 18,1,5,3 days,259200000,3 days,259200000,01_HOOFD_010-complete,01_HOOFD_011-complete,01_HOOFD_012-complete,01_HOOFD_020-complete,01_HOOFD_015-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 19,1,42,12 days,1036800000,12 days,1036800000,01_HOOFD_010-complete,01_HOOFD_011-complete,01_HOOFD_020-complete,02_DRZ_010-complete,04_BPT_005-complete,01_HOOFD_065_0-complete,01_HOOFD_061-complete,01_HOOFD_015-complete,01_HOOFD_090-complete,01_HOOFD_110_0-complete,01_HOOFD_180-complete,01_HOOFD_065_1-complete,01_HOOFD_065_2-complete,01_HOOFD_200-complete,01_HOOFD_250_0-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,11_AH_II_010-complete,13_CRD_010-complete,01_HOOFD_480-complete,01_HOOFD_490_2-complete,01_HOOFD_491-complete,08_AWB45_005-complete,01_HOOFD_195-complete,01_HOOFD_375-complete,01_HOOFD_490_4-complete,01_HOOFD_490_1a-complete,01_HOOFD_490_1-complete,01_HOOFD_494a-complete,01_HOOFD_500-complete,01_HOOFD_510_0-complete,01_HOOFD_495-complete,01_HOOFD_490_5a-complete,01_HOOFD_490_5-complete,01_HOOFD_510_1-complete,01_HOOFD_510_4-complete,01_HOOFD_510_3-complete,01_HOOFD_515-complete,01_HOOFD_510_2a-complete,01_HOOFD_510_2-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 20,1,42,"43 days, 11 hours",3755837000,"43 days, 11 hours",3755837000,01_HOOFD_010-complete,01_HOOFD_011-complete,01_HOOFD_020-complete,02_DRZ_010-complete,04_BPT_005-complete,01_HOOFD_065_0-complete,01_HOOFD_090-complete,01_HOOFD_110_0-complete,01_HOOFD_180-complete,01_HOOFD_015-complete,01_HOOFD_061-complete,01_HOOFD_065_1-complete,01_HOOFD_065_2-complete,08_AWB45_005-complete,01_HOOFD_200-complete,01_HOOFD_250_0-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,11_AH_II_010-complete,13_CRD_010-complete,01_HOOFD_480-complete,01_HOOFD_490_2-complete,01_HOOFD_490_1a-complete,01_HOOFD_195-complete,01_HOOFD_490_1-complete,01_HOOFD_375-complete,01_HOOFD_491-complete,01_HOOFD_500-complete,01_HOOFD_510_0-complete,01_HOOFD_515-complete,01_HOOFD_510_1-complete,01_HOOFD_510_2a-complete,01_HOOFD_495-complete,01_HOOFD_510_4-complete,01_HOOFD_490_5a-complete,01_HOOFD_494a-complete,01_HOOFD_510_3-complete,01_HOOFD_490_4-complete,01_HOOFD_490_5-complete,01_HOOFD_510_2-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 21,1,44,"6 days, 11 hours",560239000,"6 days, 11 hours",560239000,01_HOOFD_010-complete,01_HOOFD_011-complete,01_HOOFD_020-complete,02_DRZ_010-complete,04_BPT_005-complete,01_HOOFD_065_0-complete,01_HOOFD_090-complete,01_HOOFD_110_0-complete,01_HOOFD_180-complete,01_HOOFD_061-complete,01_HOOFD_015-complete,01_HOOFD_065_1-complete,01_HOOFD_065_2-complete,08_AWB45_005-complete,01_HOOFD_200-complete,01_HOOFD_250_0-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,11_AH_II_010-complete,13_CRD_010-complete,01_HOOFD_480-complete,01_HOOFD_490_1-complete,01_HOOFD_375-complete,01_HOOFD_195-complete,01_HOOFD_490_2-complete,01_HOOFD_491-complete,01_HOOFD_490_1a-complete,01_HOOFD_494a-complete,01_HOOFD_490_4-complete,99_NOCODE_02-complete,99_NOCODE_02-complete,01_HOOFD_500-complete,01_HOOFD_510_0-complete,01_HOOFD_515-complete,01_HOOFD_490_5-complete,01_HOOFD_510_4-complete,01_HOOFD_510_3-complete,01_HOOFD_510_1-complete,01_HOOFD_495-complete,01_HOOFD_510_2a-complete,01_HOOFD_490_5a-complete,01_HOOFD_510_2-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 22,1,42,"18 days, 12 hours",1598603000,"18 days, 12 hours",1598603000,01_HOOFD_010-complete,01_HOOFD_011-complete,01_HOOFD_020-complete,02_DRZ_010-complete,04_BPT_005-complete,01_HOOFD_065_0-complete,01_HOOFD_090-complete,01_HOOFD_110_0-complete,01_HOOFD_180-complete,01_HOOFD_061-complete,01_HOOFD_015-complete,01_HOOFD_065_1-complete,01_HOOFD_065_2-complete,08_AWB45_005-complete,01_HOOFD_200-complete,01_HOOFD_250_0-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,11_AH_II_010-complete,13_CRD_010-complete,01_HOOFD_480-complete,01_HOOFD_490_2-complete,01_HOOFD_490_1-complete,01_HOOFD_195-complete,01_HOOFD_490_1a-complete,01_HOOFD_375-complete,01_HOOFD_491-complete,01_HOOFD_500-complete,01_HOOFD_510_0-complete,01_HOOFD_490_4-complete,01_HOOFD_510_3-complete,01_HOOFD_495-complete,01_HOOFD_515-complete,01_HOOFD_490_5a-complete,01_HOOFD_510_4-complete,01_HOOFD_494a-complete,01_HOOFD_510_2a-complete,01_HOOFD_510_1-complete,01_HOOFD_490_5-complete,01_HOOFD_510_2-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 23,1,42,7 days,604800000,7 days,604800000,01_HOOFD_010-complete,01_HOOFD_011-complete,01_HOOFD_020-complete,02_DRZ_010-complete,04_BPT_005-complete,01_HOOFD_065_0-complete,01_HOOFD_090-complete,01_HOOFD_110_0-complete,01_HOOFD_180-complete,01_HOOFD_015-complete,01_HOOFD_065_1-complete,01_HOOFD_061-complete,01_HOOFD_065_2-complete,08_AWB45_005-complete,01_HOOFD_200-complete,01_HOOFD_250_0-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,11_AH_II_010-complete,13_CRD_010-complete,01_HOOFD_480-complete,01_HOOFD_490_2-complete,01_HOOFD_491-complete,01_HOOFD_490_1-complete,01_HOOFD_494a-complete,01_HOOFD_375-complete,01_HOOFD_490_1a-complete,01_HOOFD_490_4-complete,01_HOOFD_195-complete,01_HOOFD_500-complete,01_HOOFD_510_0-complete,01_HOOFD_495-complete,01_HOOFD_490_5-complete,01_HOOFD_510_1-complete,01_HOOFD_490_5a-complete,01_HOOFD_510_4-complete,01_HOOFD_510_2a-complete,01_HOOFD_510_2-complete,01_HOOFD_510_3-complete,01_HOOFD_515-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 24,1,27,"54 days, 1 hour",4669200000,"54 days, 1 hour",4669200000,01_HOOFD_010-complete,01_HOOFD_011-complete,01_HOOFD_020-complete,02_DRZ_010-complete,04_BPT_005-complete,04_BPT_009-complete,04_BPT_020-complete,04_BPT_030-complete,01_HOOFD_065_0-complete,04_BPT_021-complete,04_BPT_029-complete,01_HOOFD_015-complete,01_HOOFD_065_1-complete,01_HOOFD_065_2-complete,01_HOOFD_090-complete,01_HOOFD_110_0-complete,01_HOOFD_180-complete,08_AWB45_005-complete,08_AWB45_010-complete,08_AWB45_020_0-complete,08_AWB45_020_1-complete,08_AWB45_025-complete,08_AWB45_020_2-complete,05_EIND_020-complete,05_EIND_010-complete,05_EIND_011-complete,05_EIND_025-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 25,1,42,"6 days, 9 hours",551702000,"6 days, 9 hours",551702000,01_HOOFD_491-complete,01_HOOFD_011-complete,01_HOOFD_020-complete,02_DRZ_010-complete,04_BPT_005-complete,01_HOOFD_065_0-complete,01_HOOFD_090-complete,01_HOOFD_110_0-complete,01_HOOFD_180-complete,08_AWB45_005-complete,01_HOOFD_200-complete,01_HOOFD_250_0-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,11_AH_II_010-complete,13_CRD_010-complete,01_HOOFD_480-complete,01_HOOFD_490_2-complete,01_HOOFD_010-complete,01_HOOFD_490_1-complete,01_HOOFD_065_1-complete,01_HOOFD_015-complete,01_HOOFD_490_1a-complete,01_HOOFD_494a-complete,01_HOOFD_061-complete,01_HOOFD_490_4-complete,01_HOOFD_195-complete,01_HOOFD_375-complete,01_HOOFD_065_2-complete,01_HOOFD_500-complete,01_HOOFD_510_0-complete,01_HOOFD_510_4-complete,01_HOOFD_490_5a-complete,01_HOOFD_510_2a-complete,01_HOOFD_510_1-complete,01_HOOFD_495-complete,01_HOOFD_510_3-complete,01_HOOFD_515-complete,01_HOOFD_490_5-complete,01_HOOFD_510_2-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 26,1,42,"49 days, 1 hour",4237200000,"49 days, 1 hour",4237200000,01_HOOFD_011-complete,01_HOOFD_020-complete,02_DRZ_010-complete,04_BPT_005-complete,01_HOOFD_065_0-complete,01_HOOFD_015-complete,01_HOOFD_061-complete,01_HOOFD_010-complete,01_HOOFD_090-complete,01_HOOFD_110_0-complete,01_HOOFD_180-complete,01_HOOFD_065_1-complete,01_HOOFD_065_2-complete,01_HOOFD_200-complete,01_HOOFD_250_0-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,11_AH_II_010-complete,13_CRD_010-complete,01_HOOFD_480-complete,01_HOOFD_490_2-complete,08_AWB45_005-complete,01_HOOFD_375-complete,01_HOOFD_490_1-complete,01_HOOFD_195-complete,01_HOOFD_490_1a-complete,01_HOOFD_491-complete,01_HOOFD_500-complete,01_HOOFD_510_0-complete,01_HOOFD_495-complete,01_HOOFD_510_1-complete,01_HOOFD_490_5a-complete,01_HOOFD_490_4-complete,01_HOOFD_494a-complete,01_HOOFD_490_5-complete,01_HOOFD_510_2a-complete,01_HOOFD_510_4-complete,01_HOOFD_510_2-complete,01_HOOFD_510_3-complete,01_HOOFD_515-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 27,1,21,"21 days, 7 hours",1842934000,"21 days, 7 hours",1842934000,01_HOOFD_010-complete,01_HOOFD_011-complete,01_HOOFD_020-complete,02_DRZ_010-complete,04_BPT_005-complete,01_HOOFD_065_0-complete,01_HOOFD_090-complete,01_HOOFD_110_0-complete,01_HOOFD_180-complete,01_HOOFD_065_1-complete,01_HOOFD_015-complete,01_HOOFD_061-complete,01_HOOFD_065_2-complete,05_EIND_011-complete,05_EIND_030_0-complete,05_EIND_010-complete,99_NOCODE_01-complete,01_HOOFD_811-complete,05_EIND_065-complete,05_EIND_025-complete,05_EIND_020-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 28,1,24,"80 days, 1 hour",6915600000,"80 days, 1 hour",6915600000,01_HOOFD_010-complete,01_HOOFD_011-complete,01_HOOFD_020-complete,02_DRZ_010-complete,04_BPT_005-complete,01_HOOFD_065_0-complete,01_HOOFD_090-complete,01_HOOFD_110_0-complete,01_HOOFD_180-complete,01_HOOFD_061-complete,01_HOOFD_015-complete,01_HOOFD_065_1-complete,01_HOOFD_065_2-complete,08_AWB45_005-complete,08_AWB45_010-complete,08_AWB45_020_0-complete,08_AWB45_020_1-complete,08_AWB45_025-complete,08_AWB45_020_2-complete,08_AWB45_030-complete,08_AWB45_060-complete,08_AWB45_070_2-complete,08_AWB45_070_1-complete,08_AWB45_070_1a-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 29,1,42,"3 days, 10 hours",297734000,"3 days, 10 hours",297734000,01_HOOFD_010-complete,01_HOOFD_090-complete,01_HOOFD_110_0-complete,01_HOOFD_180-complete,08_AWB45_005-complete,01_HOOFD_200-complete,01_HOOFD_250_0-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,11_AH_II_010-complete,13_CRD_010-complete,01_HOOFD_480-complete,01_HOOFD_011-complete,01_HOOFD_020-complete,02_DRZ_010-complete,04_BPT_005-complete,01_HOOFD_065_0-complete,01_HOOFD_490_2-complete,01_HOOFD_491-complete,01_HOOFD_490_1-complete,01_HOOFD_065_1-complete,01_HOOFD_195-complete,01_HOOFD_375-complete,01_HOOFD_494a-complete,01_HOOFD_490_4-complete,01_HOOFD_015-complete,01_HOOFD_490_1a-complete,01_HOOFD_061-complete,01_HOOFD_065_2-complete,01_HOOFD_500-complete,01_HOOFD_510_0-complete,01_HOOFD_490_5a-complete,01_HOOFD_490_5-complete,01_HOOFD_510_2a-complete,01_HOOFD_510_4-complete,01_HOOFD_495-complete,01_HOOFD_515-complete,01_HOOFD_510_1-complete,01_HOOFD_510_3-complete,01_HOOFD_510_2-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 30,1,20,"6 days, 8 hours",549106000,"6 days, 8 hours",549106000,01_HOOFD_011-complete,01_HOOFD_020-complete,02_DRZ_010-complete,04_BPT_005-complete,01_HOOFD_065_0-complete,01_HOOFD_090-complete,01_HOOFD_110_0-complete,01_HOOFD_180-complete,01_HOOFD_065_1-complete,01_HOOFD_061-complete,01_HOOFD_010-complete,01_HOOFD_015-complete,01_HOOFD_065_2-complete,05_EIND_011-complete,05_EIND_030_0-complete,05_EIND_010-complete,05_EIND_065-complete,05_EIND_025-complete,01_HOOFD_811-complete,05_EIND_020-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 31,1,42,"12 days, 11 hours",1078097000,"12 days, 11 hours",1078097000,01_HOOFD_010-complete,01_HOOFD_090-complete,01_HOOFD_110_0-complete,01_HOOFD_180-complete,01_HOOFD_011-complete,01_HOOFD_020-complete,02_DRZ_010-complete,04_BPT_005-complete,01_HOOFD_065_0-complete,01_HOOFD_061-complete,01_HOOFD_065_1-complete,01_HOOFD_015-complete,01_HOOFD_065_2-complete,08_AWB45_005-complete,01_HOOFD_491-complete,01_HOOFD_200-complete,01_HOOFD_250_0-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,11_AH_II_010-complete,13_CRD_010-complete,01_HOOFD_480-complete,01_HOOFD_490_2-complete,01_HOOFD_375-complete,01_HOOFD_494a-complete,01_HOOFD_195-complete,01_HOOFD_490_4-complete,01_HOOFD_490_1-complete,01_HOOFD_490_1a-complete,01_HOOFD_500-complete,01_HOOFD_510_0-complete,01_HOOFD_490_5-complete,01_HOOFD_510_2a-complete,01_HOOFD_490_5a-complete,01_HOOFD_510_3-complete,01_HOOFD_510_1-complete,01_HOOFD_510_4-complete,01_HOOFD_495-complete,01_HOOFD_515-complete,01_HOOFD_510_2-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
