Variant,Cases,Events,Median duration,Median duration (milliseconds),Mean duration,Mean duration (milliseconds),Step 1,Step 2,Step 3,Step 4,Step 5,Step 6,Step 7,Step 8,Step 9,Step 10,Step 11,Step 12,Step 13,Step 14,Step 15,Step 16,Step 17,Step 18,Step 19,Step 20,Step 21,Step 22,Step 23,Step 24,Step 25,Step 26,Step 27,Step 28,Step 29,Step 30,Step 31,Step 32,Step 33,Step 34,Step 35,Step 36,Step 37,Step 38,Step 39,Step 40,Step 41,Step 42,Step 43,Step 44,Step 45,Step 46,Step 47,Step 48,Step 49,Step 50,Step 51,Step 52,Step 53,Step 54,Step 55,Step 56,Step 57,Step 58,Step 59,Step 60,Step 61,Step 62,Step 63,Step 64,Step 65,Step 66,Step 67,Step 68,Step 69,Step 70,Step 71,Step 72,Step 73,Step 74,Step 75,Step 76,Step 77,Step 78,Step 79,Step 80,Step 81,Step 82,Step 83,Step 84,Step 85,Step 86,Step 87,Step 88,Step 89,Step 90,Step 91,Step 92,Step 93,Step 94,Step 95,Step 96,Step 97,Step 98,Step 99,Step 100,Step 101,Step 102,Step 103,Step 104,Step 105,Step 106,Step 107,Step 108,Step 109,Step 110,Step 111,Step 112,Step 113,Step 114,Step 115,Step 116,Step 117,Step 118,Step 119,Step 120,Step 121,Step 122,Step 123,Step 124
Variant 1125,1,38,33 days,2851200000,33 days,2851200000,01_HOOFD_010-complete,01_HOOFD_011-complete,01_HOOFD_020-complete,03_GBH_005-complete,01_HOOFD_015-complete,01_HOOFD_030_1-complete,01_HOOFD_030_2-complete,04_BPT_005-complete,01_HOOFD_065_0-complete,02_DRZ_010-complete,01_HOOFD_061-complete,01_HOOFD_180-complete,08_AWB45_005-complete,01_HOOFD_200-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,11_AH_II_010-complete,13_CRD_010-complete,01_HOOFD_480-complete,01_HOOFD_490_2-complete,01_HOOFD_110_0-complete,01_HOOFD_490_1a-complete,01_HOOFD_490_1-complete,01_HOOFD_195-complete,01_HOOFD_250_1-complete,01_HOOFD_375-complete,01_HOOFD_370-complete,01_HOOFD_250_2-complete,01_HOOFD_490_5a-complete,01_HOOFD_490_5-complete,01_HOOFD_491-complete,01_HOOFD_500-complete,01_HOOFD_510_0-complete,01_HOOFD_490_4-complete,01_HOOFD_495-complete,01_HOOFD_494a-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 1126,1,45,"19 days, 10 hours",1678057000,"19 days, 10 hours",1678057000,01_HOOFD_010-complete,01_HOOFD_011-complete,01_HOOFD_020-complete,03_GBH_005-complete,01_HOOFD_030_2-complete,01_HOOFD_015-complete,02_DRZ_010-complete,04_BPT_005-complete,01_HOOFD_061-complete,01_HOOFD_030_1-complete,01_HOOFD_480-complete,01_HOOFD_490_2-complete,01_HOOFD_491-complete,01_HOOFD_065_0-complete,01_HOOFD_110_0-complete,01_HOOFD_180-complete,08_AWB45_005-complete,01_HOOFD_200-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,11_AH_II_010-complete,13_CRD_010-complete,01_HOOFD_494a-complete,01_HOOFD_490_4-complete,01_HOOFD_250_2-complete,01_HOOFD_195-complete,01_HOOFD_375-complete,01_HOOFD_250_1-complete,01_HOOFD_370-complete,01_HOOFD_490_1a-complete,01_HOOFD_490_1-complete,01_HOOFD_490_5a-complete,01_HOOFD_490_5-complete,01_HOOFD_500-complete,01_HOOFD_510_0-complete,01_HOOFD_510_1-complete,01_HOOFD_510_2a-complete,01_HOOFD_515-complete,01_HOOFD_495-complete,01_HOOFD_510_3-complete,01_HOOFD_510_4-complete,01_HOOFD_532-complete,01_HOOFD_510_2-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 1127,1,57,"65 days, 11 hours",5657237000,"65 days, 11 hours",5657237000,01_HOOFD_010-complete,01_HOOFD_011-complete,01_HOOFD_020-complete,03_GBH_005-complete,01_HOOFD_030_1-complete,01_HOOFD_015-complete,01_HOOFD_030_2-complete,08_AWB45_020_2-complete,08_AWB45_040-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,11_AH_II_010-complete,13_CRD_010-complete,01_HOOFD_480-complete,01_HOOFD_490_2-complete,04_BPT_005-complete,01_HOOFD_065_0-complete,01_HOOFD_110_0-complete,01_HOOFD_180-complete,08_AWB45_005-complete,08_AWB45_010-complete,08_AWB45_020_0-complete,08_AWB45_030-complete,08_AWB45_051_0-complete,01_HOOFD_193-complete,08_AWB45_005-complete,01_HOOFD_196-complete,01_HOOFD_200-complete,02_DRZ_010-complete,01_HOOFD_250_2-complete,08_AWB45_025-complete,08_AWB45_045-complete,01_HOOFD_061-complete,01_HOOFD_370-complete,01_HOOFD_375-complete,08_AWB45_020_1-complete,01_HOOFD_490_1-complete,01_HOOFD_250_1-complete,01_HOOFD_195-complete,01_HOOFD_490_1a-complete,01_HOOFD_491-complete,01_HOOFD_500-complete,01_HOOFD_510_0-complete,01_HOOFD_490_5a-complete,01_HOOFD_495-complete,01_HOOFD_490_4-complete,01_HOOFD_510_2a-complete,01_HOOFD_510_4-complete,01_HOOFD_532-complete,01_HOOFD_494a-complete,01_HOOFD_510_3-complete,01_HOOFD_515-complete,01_HOOFD_510_1-complete,01_HOOFD_490_5-complete,01_HOOFD_510_2-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 1128,1,57,"87 days, 8 hours",7548247000,"87 days, 8 hours",7548247000,01_HOOFD_010-complete,01_HOOFD_011-complete,01_HOOFD_020-complete,03_GBH_005-complete,01_HOOFD_015-complete,01_HOOFD_030_1-complete,01_HOOFD_030_2-complete,04_BPT_005-complete,01_HOOFD_065_0-complete,01_HOOFD_110_0-complete,01_HOOFD_180-complete,08_AWB45_005-complete,08_AWB45_010-complete,08_AWB45_020_0-complete,02_DRZ_010-complete,08_AWB45_020_1-complete,01_HOOFD_061-complete,08_AWB45_025-complete,08_AWB45_020_2-complete,08_AWB45_040-complete,08_AWB45_051_0-complete,01_HOOFD_193-complete,08_AWB45_005-complete,01_HOOFD_196-complete,01_HOOFD_200-complete,08_AWB45_030-complete,08_AWB45_045-complete,01_HOOFD_195-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,11_AH_II_010-complete,13_CRD_010-complete,01_HOOFD_480-complete,01_HOOFD_490_2-complete,01_HOOFD_490_1a-complete,01_HOOFD_375-complete,01_HOOFD_490_1-complete,01_HOOFD_250_1-complete,01_HOOFD_370-complete,01_HOOFD_250_2-complete,01_HOOFD_491-complete,01_HOOFD_500-complete,01_HOOFD_510_0-complete,01_HOOFD_490_5a-complete,01_HOOFD_515-complete,01_HOOFD_510_3-complete,01_HOOFD_510_2a-complete,01_HOOFD_510_1-complete,01_HOOFD_495-complete,01_HOOFD_490_4-complete,01_HOOFD_494a-complete,01_HOOFD_532-complete,01_HOOFD_510_4-complete,01_HOOFD_490_5-complete,01_HOOFD_510_2-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 1129,1,45,"28 days, 9 hours",2452174000,"28 days, 9 hours",2452174000,01_HOOFD_010-complete,01_HOOFD_011-complete,01_HOOFD_020-complete,03_GBH_005-complete,01_HOOFD_015-complete,01_HOOFD_030_1-complete,01_HOOFD_030_2-complete,04_BPT_005-complete,01_HOOFD_065_0-complete,01_HOOFD_110_0-complete,01_HOOFD_180-complete,08_AWB45_005-complete,01_HOOFD_200-complete,01_HOOFD_330-complete,02_DRZ_010-complete,01_HOOFD_061-complete,01_HOOFD_195-complete,01_HOOFD_250_1-complete,01_HOOFD_250_2-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,11_AH_II_010-complete,13_CRD_010-complete,01_HOOFD_480-complete,01_HOOFD_490_2-complete,09_AH_I_010-complete,01_HOOFD_370-complete,01_HOOFD_490_1a-complete,01_HOOFD_375-complete,01_HOOFD_490_1-complete,01_HOOFD_491-complete,01_HOOFD_490_4-complete,01_HOOFD_494a-complete,01_HOOFD_490_5a-complete,01_HOOFD_500-complete,01_HOOFD_510_0-complete,01_HOOFD_532-complete,01_HOOFD_510_2a-complete,01_HOOFD_510_3-complete,01_HOOFD_495-complete,01_HOOFD_490_5-complete,01_HOOFD_510_4-complete,01_HOOFD_510_1-complete,01_HOOFD_515-complete,01_HOOFD_510_2-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 1130,1,81,"223 days, 11 hours",19308303000,"223 days, 11 hours",19308303000,01_HOOFD_010-complete,01_HOOFD_011-complete,01_HOOFD_020-complete,03_GBH_005-complete,01_HOOFD_015-complete,01_HOOFD_030_1-complete,01_HOOFD_030_2-complete,04_BPT_005-complete,01_HOOFD_065_0-complete,01_HOOFD_110_0-complete,02_DRZ_010-complete,01_HOOFD_061-complete,08_AWB45_040-complete,08_AWB45_005-complete,08_AWB45_010-complete,08_AWB45_020_0-complete,08_AWB45_030-complete,08_AWB45_051_0-complete,01_HOOFD_193-complete,01_HOOFD_180-complete,01_HOOFD_181-complete,08_AWB45_025-complete,08_AWB45_045-complete,01_HOOFD_350_0-complete,09_AH_I_010-complete,01_HOOFD_380-complete,12_AP_010-complete,01_HOOFD_410_0-complete,01_HOOFD_420-complete,01_HOOFD_446-complete,01_HOOFD_455-complete,10_UOV_010-complete,10_UOV_039-complete,10_UOV_050_0-complete,01_HOOFD_196-complete,01_HOOFD_210_0-complete,01_HOOFD_330-complete,08_AWB45_005-complete,01_HOOFD_440_1-complete,01_HOOFD_250_1-complete,01_HOOFD_375-complete,10_UOV_050_3-complete,10_UOV_050_1-complete,01_HOOFD_440_2-complete,01_HOOFD_465-complete,01_HOOFD_370-complete,10_UOV_050_2a-complete,01_HOOFD_198-complete,01_HOOFD_460a-complete,01_HOOFD_445-complete,01_HOOFD_331-complete,01_HOOFD_459-complete,01_HOOFD_440_1a-complete,10_UOV_040-complete,01_HOOFD_195-complete,01_HOOFD_250_2-complete,01_HOOFD_450-complete,01_HOOFD_460-complete,10_UOV_050_2-complete,10_UOV_050_4-complete,10_UOV_030a-complete,10_UOV_030-complete,10_UOV_070-complete,10_UOV_080-complete,10_UOV_120-complete,12_AP_UOV_010-complete,01_HOOFD_490_2-complete,01_HOOFD_491-complete,10_UOV_060-complete,10_UOV_061_2-complete,01_HOOFD_494a-complete,01_HOOFD_495-complete,01_HOOFD_490_5a-complete,10_UOV_061_1-complete,01_HOOFD_809b-complete,01_HOOFD_490_4-complete,10_UOV_041b-complete,01_HOOFD_490_1a-complete,01_HOOFD_490_1-complete,10_UOV_065-complete,01_HOOFD_490_5-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 1131,1,57,"147 days, 16 hours",12758727000,"147 days, 16 hours",12758727000,01_HOOFD_010-complete,01_HOOFD_011-complete,01_HOOFD_020-complete,03_GBH_005-complete,01_HOOFD_015-complete,01_HOOFD_030_1-complete,01_HOOFD_030_2-complete,04_BPT_005-complete,01_HOOFD_065_0-complete,01_HOOFD_110_0-complete,01_HOOFD_180-complete,08_AWB45_005-complete,08_AWB45_010-complete,08_AWB45_020_0-complete,02_DRZ_010-complete,01_HOOFD_061-complete,08_AWB45_025-complete,08_AWB45_020_1-complete,08_AWB45_020_2-complete,08_AWB45_040-complete,08_AWB45_051_0-complete,01_HOOFD_193-complete,08_AWB45_005-complete,01_HOOFD_196-complete,01_HOOFD_200-complete,08_AWB45_030-complete,08_AWB45_045-complete,01_HOOFD_195-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_370-complete,01_HOOFD_375-complete,01_HOOFD_250_2-complete,01_HOOFD_250_1-complete,01_HOOFD_430-complete,11_AH_II_010-complete,13_CRD_010-complete,01_HOOFD_480-complete,01_HOOFD_490_2-complete,01_HOOFD_380-complete,01_HOOFD_490_1a-complete,01_HOOFD_490_1-complete,01_HOOFD_491-complete,01_HOOFD_500-complete,01_HOOFD_510_0-complete,01_HOOFD_490_4-complete,01_HOOFD_494a-complete,01_HOOFD_495-complete,01_HOOFD_510_3-complete,01_HOOFD_532-complete,01_HOOFD_510_2a-complete,01_HOOFD_515-complete,01_HOOFD_510_4-complete,01_HOOFD_510_1-complete,01_HOOFD_490_5a-complete,01_HOOFD_490_5-complete,01_HOOFD_510_2-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 1132,1,67,"54 days, 12 hours",4711547000,"54 days, 12 hours",4711547000,01_HOOFD_010-complete,01_HOOFD_011-complete,01_HOOFD_020-complete,03_GBH_005-complete,01_HOOFD_015-complete,01_HOOFD_030_1-complete,01_HOOFD_030_2-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_380-complete,12_AP_010-complete,12_AP_011-complete,12_AP_020_0-complete,04_BPT_005-complete,01_HOOFD_065_0-complete,01_HOOFD_110_0-complete,01_HOOFD_180-complete,08_AWB45_005-complete,01_HOOFD_200-complete,02_DRZ_010-complete,01_HOOFD_250_2-complete,01_HOOFD_195-complete,01_HOOFD_061-complete,01_HOOFD_370-complete,01_HOOFD_375-complete,12_AP_020_1-complete,01_HOOFD_250_1-complete,12_AP_025-complete,12_AP_020_2-complete,12_AP_040-complete,12_AP_011-complete,12_AP_030-complete,12_AP_020_0-complete,12_AP_025-complete,12_AP_050-complete,12_AP_060-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,11_AH_II_010-complete,13_CRD_010-complete,01_HOOFD_480-complete,01_HOOFD_490_2-complete,12_AP_030-complete,01_HOOFD_250_1-complete,01_HOOFD_490_1-complete,01_HOOFD_370-complete,01_HOOFD_375-complete,01_HOOFD_490_1a-complete,12_AP_055-complete,01_HOOFD_250_2-complete,01_HOOFD_491-complete,01_HOOFD_490_4-complete,01_HOOFD_494a-complete,01_HOOFD_500-complete,01_HOOFD_510_0-complete,01_HOOFD_510_4-complete,01_HOOFD_510_2a-complete,01_HOOFD_490_5a-complete,01_HOOFD_510_3-complete,01_HOOFD_510_1-complete,01_HOOFD_532-complete,01_HOOFD_490_5-complete,01_HOOFD_515-complete,01_HOOFD_495-complete,01_HOOFD_510_2-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 1133,1,44,"6 days, 11 hours",558087000,"6 days, 11 hours",558087000,01_HOOFD_010-complete,01_HOOFD_011-complete,01_HOOFD_020-complete,03_GBH_005-complete,01_HOOFD_030_1-complete,01_HOOFD_015-complete,01_HOOFD_030_2-complete,04_BPT_005-complete,01_HOOFD_065_0-complete,01_HOOFD_110_0-complete,01_HOOFD_180-complete,08_AWB45_005-complete,01_HOOFD_200-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,11_AH_II_010-complete,13_CRD_010-complete,01_HOOFD_480-complete,01_HOOFD_490_2-complete,01_HOOFD_491-complete,01_HOOFD_500-complete,02_DRZ_010-complete,01_HOOFD_370-complete,01_HOOFD_375-complete,01_HOOFD_490_1a-complete,01_HOOFD_195-complete,01_HOOFD_494a-complete,01_HOOFD_490_4-complete,01_HOOFD_250_2-complete,01_HOOFD_495-complete,01_HOOFD_490_1-complete,01_HOOFD_061-complete,01_HOOFD_250_1-complete,01_HOOFD_490_5a-complete,01_HOOFD_490_5-complete,01_HOOFD_510_0-complete,01_HOOFD_510_2a-complete,01_HOOFD_510_4-complete,01_HOOFD_510_1-complete,01_HOOFD_510_3-complete,01_HOOFD_515-complete,01_HOOFD_510_2-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 1134,1,57,"53 days, 12 hours",4623355000,"53 days, 12 hours",4623355000,01_HOOFD_010-complete,01_HOOFD_011-complete,01_HOOFD_020-complete,03_GBH_005-complete,01_HOOFD_015-complete,01_HOOFD_030_1-complete,01_HOOFD_030_2-complete,04_BPT_005-complete,01_HOOFD_065_0-complete,01_HOOFD_110_0-complete,01_HOOFD_180-complete,08_AWB45_005-complete,08_AWB45_010-complete,08_AWB45_020_0-complete,02_DRZ_010-complete,08_AWB45_020_1-complete,01_HOOFD_061-complete,08_AWB45_025-complete,08_AWB45_020_2-complete,08_AWB45_040-complete,08_AWB45_051_0-complete,08_AWB45_030-complete,08_AWB45_045-complete,08_AWB45_005-complete,01_HOOFD_196-complete,01_HOOFD_200-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,11_AH_II_010-complete,13_CRD_010-complete,01_HOOFD_480-complete,01_HOOFD_490_2-complete,01_HOOFD_491-complete,01_HOOFD_193-complete,01_HOOFD_494a-complete,01_HOOFD_250_2-complete,01_HOOFD_490_1-complete,01_HOOFD_490_4-complete,01_HOOFD_490_1a-complete,01_HOOFD_250_1-complete,01_HOOFD_370-complete,01_HOOFD_195-complete,01_HOOFD_375-complete,01_HOOFD_500-complete,01_HOOFD_510_0-complete,01_HOOFD_532-complete,01_HOOFD_510_3-complete,01_HOOFD_510_4-complete,01_HOOFD_495-complete,01_HOOFD_510_2a-complete,01_HOOFD_515-complete,01_HOOFD_490_5a-complete,01_HOOFD_510_1-complete,01_HOOFD_490_5-complete,01_HOOFD_510_2-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 1135,1,73,"51 days, 16 hours",4465847000,"51 days, 16 hours",4465847000,01_HOOFD_010-complete,01_HOOFD_011-complete,01_HOOFD_020-complete,03_GBH_005-complete,01_HOOFD_015-complete,01_HOOFD_030_1-complete,01_HOOFD_030_2-complete,04_BPT_005-complete,04_BPT_010-complete,04_BPT_020-complete,04_BPT_030-complete,02_DRZ_010-complete,04_BPT_021-complete,04_BPT_029-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_380-complete,01_HOOFD_090-complete,01_HOOFD_110_0-complete,01_HOOFD_180-complete,08_AWB45_005-complete,01_HOOFD_200-complete,01_HOOFD_065_0-complete,01_HOOFD_440_1a-complete,01_HOOFD_250_2-complete,01_HOOFD_195-complete,01_HOOFD_250_1-complete,01_HOOFD_370-complete,01_HOOFD_440_1-complete,01_HOOFD_375-complete,01_HOOFD_500-complete,01_HOOFD_510_0-complete,01_BB_630-complete,01_HOOFD_446-complete,01_HOOFD_455-complete,10_UOV_010-complete,11_AH_II_010-complete,13_CRD_010-complete,01_HOOFD_490_2-complete,01_HOOFD_491-complete,01_HOOFD_490_4-complete,01_HOOFD_490_1-complete,01_HOOFD_814-complete,01_HOOFD_510_4-complete,01_HOOFD_465-complete,01_HOOFD_494a-complete,01_HOOFD_510_1-complete,01_HOOFD_510_2a-complete,01_HOOFD_445-complete,01_HOOFD_810-complete,01_HOOFD_532-complete,01_HOOFD_820-complete,01_HOOFD_809-complete,01_HOOFD_815-complete,01_HOOFD_490_5a-complete,01_HOOFD_460a-complete,01_HOOFD_515-complete,01_HOOFD_459-complete,01_HOOFD_101b-complete,01_BB_775-complete,01_HOOFD_510_3-complete,01_HOOFD_440_2-complete,01_HOOFD_809c-complete,01_HOOFD_811-complete,01_HOOFD_490_1a-complete,01_HOOFD_516a-complete,01_HOOFD_495-complete,01_HOOFD_450-complete,01_HOOFD_460-complete,01_HOOFD_490_5-complete,01_HOOFD_516-complete,01_HOOFD_510_2-complete,01_BB_770-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 1136,1,53,"72 days, 8 hours",6253055000,"72 days, 8 hours",6253055000,01_HOOFD_010-complete,01_HOOFD_011-complete,01_HOOFD_020-complete,01_HOOFD_030_1-complete,01_HOOFD_015-complete,01_HOOFD_030_2-complete,04_BPT_005-complete,01_HOOFD_065_0-complete,01_HOOFD_090-complete,01_HOOFD_110_0-complete,01_HOOFD_180-complete,08_AWB45_005-complete,08_AWB45_010-complete,08_AWB45_020_0-complete,02_DRZ_010-complete,08_AWB45_020_1-complete,08_AWB45_025-complete,01_HOOFD_061-complete,08_AWB45_020_2-complete,08_AWB45_040-complete,01_HOOFD_250_0-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,11_AH_II_010-complete,13_CRD_010-complete,01_HOOFD_480-complete,01_HOOFD_490_2-complete,01_HOOFD_491-complete,01_HOOFD_500-complete,01_HOOFD_510_0-complete,08_AWB45_051_0-complete,08_AWB45_005-complete,01_HOOFD_196-complete,01_HOOFD_200-complete,08_AWB45_030-complete,01_HOOFD_510_3-complete,01_HOOFD_490_1-complete,01_HOOFD_510_4-complete,01_HOOFD_490_1a-complete,01_HOOFD_195-complete,01_HOOFD_490_5a-complete,01_HOOFD_375-complete,01_HOOFD_515-complete,08_AWB45_045-complete,01_HOOFD_495-complete,01_HOOFD_494a-complete,01_HOOFD_490_4-complete,01_HOOFD_510_1-complete,01_HOOFD_510_2a-complete,01_HOOFD_490_5-complete,01_HOOFD_510_2-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 1137,1,42,"33 days, 10 hours",2888328000,"33 days, 10 hours",2888328000,01_HOOFD_010-complete,01_HOOFD_011-complete,01_HOOFD_020-complete,01_HOOFD_015-complete,01_HOOFD_030_1-complete,01_HOOFD_030_2-complete,04_BPT_005-complete,01_HOOFD_065_0-complete,02_DRZ_010-complete,01_HOOFD_061-complete,01_HOOFD_110_0-complete,01_HOOFD_180-complete,08_AWB45_005-complete,01_HOOFD_200-complete,01_HOOFD_090-complete,01_HOOFD_195-complete,01_HOOFD_250_0-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_380-complete,01_HOOFD_375-complete,01_HOOFD_430-complete,11_AH_II_010-complete,13_CRD_010-complete,01_HOOFD_480-complete,01_HOOFD_490_2-complete,01_HOOFD_491-complete,01_HOOFD_490_4-complete,01_HOOFD_490_1a-complete,01_HOOFD_494a-complete,01_HOOFD_490_1-complete,01_HOOFD_500-complete,01_HOOFD_510_0-complete,01_HOOFD_515-complete,01_HOOFD_490_5-complete,01_HOOFD_495-complete,01_HOOFD_510_3-complete,01_HOOFD_490_5a-complete,01_HOOFD_510_4-complete,01_HOOFD_510_2a-complete,01_HOOFD_510_1-complete,01_HOOFD_510_2-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 1138,1,53,"61 days, 11 hours",5313163000,"61 days, 11 hours",5313163000,01_HOOFD_010-complete,01_HOOFD_011-complete,01_HOOFD_020-complete,01_HOOFD_015-complete,01_HOOFD_030_1-complete,01_HOOFD_030_2-complete,02_DRZ_010-complete,04_BPT_005-complete,01_HOOFD_065_0-complete,01_HOOFD_090-complete,01_HOOFD_110_0-complete,01_HOOFD_180-complete,08_AWB45_005-complete,08_AWB45_010-complete,08_AWB45_020_0-complete,01_HOOFD_061-complete,08_AWB45_020_1-complete,08_AWB45_020_2-complete,08_AWB45_040-complete,08_AWB45_030-complete,08_AWB45_051_0-complete,08_AWB45_045-complete,08_AWB45_025-complete,01_HOOFD_196-complete,01_HOOFD_200-complete,01_HOOFD_250_0-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,11_AH_II_010-complete,13_CRD_010-complete,01_HOOFD_480-complete,01_HOOFD_490_2-complete,08_AWB45_005-complete,01_HOOFD_490_1a-complete,01_HOOFD_195-complete,01_HOOFD_490_1-complete,01_HOOFD_375-complete,01_HOOFD_491-complete,01_HOOFD_500-complete,01_HOOFD_510_0-complete,01_HOOFD_495-complete,01_HOOFD_510_2a-complete,01_HOOFD_515-complete,01_HOOFD_490_4-complete,01_HOOFD_510_1-complete,01_HOOFD_510_4-complete,01_HOOFD_490_5a-complete,01_HOOFD_510_3-complete,01_HOOFD_494a-complete,01_HOOFD_490_5-complete,01_HOOFD_510_2-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 1139,1,20,"46 days, 10 hours",4012871000,"46 days, 10 hours",4012871000,01_HOOFD_010-complete,01_HOOFD_011-complete,01_HOOFD_020-complete,01_HOOFD_030_1-complete,01_HOOFD_015-complete,01_HOOFD_030_2-complete,04_BPT_005-complete,01_HOOFD_065_0-complete,02_DRZ_010-complete,01_HOOFD_061-complete,05_EIND_011-complete,05_EIND_030_0-complete,05_EIND_010-complete,05_EIND_025-complete,05_EIND_065-complete,05_EIND_030_1-complete,01_HOOFD_811-complete,05_EIND_020-complete,05_EIND_030_2-complete,01_HOOFD_810-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 1140,1,10,21 days,1814400000,21 days,1814400000,01_HOOFD_010-complete,01_HOOFD_011-complete,01_HOOFD_020-complete,01_HOOFD_030_1-complete,01_HOOFD_015-complete,01_HOOFD_030_2-complete,04_BPT_005-complete,01_HOOFD_065_0-complete,02_DRZ_010-complete,01_HOOFD_061-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 1141,1,42,"21 days, 11 hours",1854911000,"21 days, 11 hours",1854911000,01_HOOFD_010-complete,01_HOOFD_011-complete,01_HOOFD_020-complete,01_HOOFD_030_1-complete,01_HOOFD_015-complete,01_HOOFD_030_2-complete,04_BPT_005-complete,01_HOOFD_065_0-complete,02_DRZ_010-complete,01_HOOFD_061-complete,01_HOOFD_110_0-complete,01_HOOFD_180-complete,08_AWB45_005-complete,01_HOOFD_200-complete,01_HOOFD_250_0-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,11_AH_II_010-complete,13_CRD_010-complete,01_HOOFD_480-complete,01_HOOFD_490_2-complete,01_HOOFD_491-complete,01_HOOFD_500-complete,01_HOOFD_510_0-complete,01_HOOFD_090-complete,01_HOOFD_494a-complete,01_HOOFD_515-complete,01_HOOFD_495-complete,01_HOOFD_375-complete,01_HOOFD_510_1-complete,01_HOOFD_510_4-complete,01_HOOFD_510_3-complete,01_HOOFD_490_4-complete,01_HOOFD_490_5a-complete,01_HOOFD_510_2a-complete,01_HOOFD_490_1-complete,01_HOOFD_195-complete,01_HOOFD_490_1a-complete,01_HOOFD_490_5-complete,01_HOOFD_510_2-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
